Wall time,Step,Value
1731834982.2394428,4,0.0013779172440990806
1731834994.3976417,14,0.0004862167697865516
1731834995.582669,15,0.0003281414392404258
1731834999.1188214,18,0.0004256198590155691
1731835000.3009305,19,0.000534563441760838
1731835008.6983712,26,0.00015449324564542621
1731835010.0950658,27,0.00017244290211237967
1731835025.2422414,40,5.7246008509537205e-05
1731835033.4926696,47,3.609641134971753e-05
1731835034.6694083,48,3.9827751606935635e-05
1731835035.8488865,49,3.502649997244589e-05
1731835051.2023373,62,1.6644351489958353e-05
1731835052.391367,63,2.3276339561562054e-05
1731835055.9558744,66,1.59658429765841e-05
1731835057.2314782,67,1.4373485100804828e-05
1731835060.7766085,70,1.530863119114656e-05
1731835061.9617574,71,1.3007999768888112e-05
1731835069.0049286,77,1.1185877156094648e-05
1731835074.7824786,82,7.782098691677675e-06
1731835082.7426434,89,5.571281690208707e-06
1731835094.1972642,99,4.848044682148611e-06
1731835098.697008,103,4.539651399682043e-06
1731835103.3652272,107,3.3650410387053853e-06
1731835119.9557126,121,2.3948109628690872e-06
1731835124.6526916,125,2.300387222931022e-06
1731835125.8158865,126,2.4002897589525674e-06
1731835128.1648898,128,1.7871379895950668e-06
1731835130.530131,130,1.8089316426994628e-06
1731835137.6582227,136,1.342307200502546e-06
1731835146.7699542,144,1.602648353582481e-06
1731835149.1021779,146,2.6647219328879146e-06
1731835150.2811546,147,2.081043476209743e-06
1731835153.6338367,150,1.5519335647695698e-06
1731835161.8301542,157,1.2073662674083607e-06
1731835165.3502707,160,1.8335481399844866e-06
1731835167.815469,162,1.6591982330282917e-06
1731835170.1714425,164,1.336314198852051e-06
1731835179.5610185,172,1.8644909687282052e-06
1731835185.2650714,177,1.304602164964308e-06
1731835193.2435575,184,1.3115602541802218e-06
1731835194.4296784,185,1.5418789871546323e-06
1731835201.3874824,191,9.252134418602509e-07
1731835202.5652318,192,9.961062232832774e-07
1731835397.1721058,203,9.65472850111837e-07
1731835399.3336253,205,8.640172382001765e-07
1731835408.085273,213,1.081074174180685e-06
1731835410.3221629,215,1.3369045746003394e-06
1731835420.095975,224,1.3089891126583098e-06
1731835425.5182319,229,6.626926278840983e-07
1731835441.75349,244,6.927244839971536e-07
1731835442.8123994,245,7.678640940866899e-07
1731835456.9661283,258,6.611556386815209e-07
1731835458.105452,259,6.938674914636067e-07
1731835471.4047809,271,6.277326178860676e-07
1731835474.8999827,274,6.6974263290831e-07
1731835479.3279395,278,8.982109420685447e-07
1731835483.7554162,282,9.729294561111601e-07
1731835487.0217867,285,1.521275862614857e-06
1731835490.2428665,288,7.75383171003341e-07
1731835492.4139578,290,7.948883080644009e-07
1731835498.0164192,295,4.996629172637768e-07
1731835500.2387817,297,4.084076579147222e-07
1731835501.326733,298,5.408918468674528e-07
1731835512.1328464,308,4.5734492459814646e-07
1731835516.4482172,312,4.480970687836816e-07
1731835520.9133677,316,6.428539336411632e-07
1731835523.0847394,318,6.59309307593503e-07
1731835524.129647,319,4.926031920149399e-07
1731835527.411047,322,9.666733831181773e-07
1731835552.8171067,345,5.546175998460967e-07
1731835553.8920474,346,5.309163952915696e-07
1731835566.8910878,358,4.5010784788246383e-07
1731835573.4603794,364,3.296061095170444e-07
1731835574.540085,365,3.477924792605336e-07
1731835575.6129026,366,3.3780420949369727e-07
1731835588.9640527,378,3.6422215998754837e-07
1731835597.6993108,386,2.9906004783697426e-07
1731835601.9876342,390,3.603113327699248e-07
1731835604.2133198,392,3.382204170065961e-07
1731835609.635384,397,3.179844725309522e-07
1731835799.2946286,402,4.437880249952286e-07
1731835801.6454277,404,3.2662285320839146e-07
1731835813.541204,415,3.012810623204132e-07
1731835820.5692337,421,3.649603002031654e-07
1731835821.689465,422,5.646112413160154e-07
1731835836.7202942,436,4.289910293664434e-07
1731835837.8845212,437,4.441179157765873e-07
1731835840.1610014,439,3.0787782634433825e-07
1731835847.8290398,446,2.872728828151594e-07
1731835854.397819,452,4.361718879408727e-07
1731835858.7061136,456,2.5168486672555446e-07
