Output,Target,Error
2.086348459124565125e-02,2.076699957251548767e-02,9.648501873016357422e-05
-2.067568711936473846e-02,-2.076699957251548767e-02,9.131245315074920654e-05
1.084849145263433456e-02,1.085000019520521164e-02,1.508742570877075195e-06
5.233477056026458740e-02,5.234200134873390198e-02,7.230788469314575195e-06
-6.169341504573822021e-03,-6.200000178068876266e-03,3.065867349505424500e-05
2.523784339427947998e-02,2.510499954223632812e-02,1.328438520431518555e-04
-6.344722956418991089e-02,-6.346499919891357422e-02,1.776963472366333008e-05
-1.284211315214633942e-02,-1.301900018006563187e-02,1.768870279192924500e-04
5.843694135546684265e-02,5.852299928665161133e-02,8.605793118476867676e-05
3.885043784976005554e-02,3.873100131750106812e-02,1.194365322589874268e-04
1.832085289061069489e-02,1.828799955546855927e-02,3.285333514213562012e-05
8.931134827435016632e-03,8.990000002086162567e-03,5.886517465114593506e-05
3.080141916871070862e-02,3.099000081419944763e-02,1.885816454887390137e-04
3.006209805607795715e-02,3.006099909543991089e-02,1.098960638046264648e-06
6.710996478796005249e-02,6.716900318861007690e-02,5.903840065002441406e-05
2.266727387905120850e-04,0.000000000000000000e+00,2.266727387905120850e-04
-2.997597120702266693e-02,-3.006099909543991089e-02,8.502788841724395752e-05
-5.475029721856117249e-02,-5.481500178575515747e-02,6.470456719398498535e-05
-4.976472631096839905e-02,-4.986900091171264648e-02,1.042746007442474365e-04
-1.215991005301475525e-02,-1.208900008350610733e-02,7.090996950864791870e-05
-7.634788751602172852e-02,-7.642100006341934204e-02,7.311254739761352539e-05
7.146688550710678101e-02,7.148800045251846313e-02,2.111494541168212891e-05
-7.246964424848556519e-02,-7.272200286388397217e-02,2.523586153984069824e-04
5.169145390391349792e-02,5.172400176525115967e-02,3.254786133766174316e-05
-4.300554841756820679e-02,-4.306299984455108643e-02,5.745142698287963867e-05
5.176269635558128357e-02,5.172400176525115967e-02,3.869459033012390137e-05
1.777844876050949097e-02,1.766799949109554291e-02,1.104492694139480591e-04
7.323054969310760498e-02,7.333800196647644043e-02,1.074522733688354492e-04
-1.678688265383243561e-02,-1.673799939453601837e-02,4.888325929641723633e-05
-5.265607964247465134e-03,-5.270000081509351730e-03,4.392117261886596680e-06
3.376134112477302551e-02,3.377699851989746094e-02,1.565739512443542480e-05
4.559246078133583069e-02,4.553800076246261597e-02,5.446001887321472168e-05
4.286569356918334961e-02,4.275399819016456604e-02,1.116953790187835693e-04
-2.028090134263038635e-02,-2.014699950814247131e-02,1.339018344879150391e-04
2.007812820374965668e-02,2.014699950814247131e-02,6.887130439281463623e-05
6.836743559688329697e-03,6.819999776780605316e-03,1.674378290772438049e-05
-3.799236193299293518e-02,-3.780199959874153137e-02,1.903623342514038086e-04
-6.768423318862915039e-02,-6.778600066900253296e-02,1.017674803733825684e-04
3.600858896970748901e-02,3.594499826431274414e-02,6.359070539474487305e-05
-7.314662635326385498e-02,-7.333800196647644043e-02,1.913756132125854492e-04
-3.007026016712188721e-02,-3.006099909543991089e-02,9.261071681976318359e-06
-3.772521764039993286e-02,-3.780199959874153137e-02,7.678195834159851074e-05
2.791963890194892883e-02,2.789299935102462769e-02,2.663955092430114746e-05
-1.848606159910559654e-03,-1.859999960288405418e-03,1.139380037784576416e-05
3.027078323066234589e-02,3.006099909543991089e-02,2.097841352224349976e-04
-2.368256635963916779e-02,-2.355599962174892426e-02,1.265667378902435303e-04
5.638022720813751221e-02,5.635999888181686401e-02,2.022832632064819336e-05
-4.326648637652397156e-02,-4.337299987673759460e-02,1.065135002136230469e-04
7.678490877151489258e-02,7.672899961471557617e-02,5.590915679931640625e-05
4.833109304308891296e-02,4.832199960947036743e-02,9.093433618545532227e-06
1.543263345956802368e-02,1.549900043755769730e-02,6.636697798967361450e-05
7.411527633666992188e-02,7.426299899816513062e-02,1.477226614952087402e-04
7.210461422801017761e-03,7.439999841153621674e-03,2.295384183526039124e-04
-3.601677715778350830e-02,-3.594499826431274414e-02,7.177889347076416016e-05
7.204692065715789795e-02,7.210499793291091919e-02,5.807727575302124023e-05
4.998056963086128235e-02,4.986900091171264648e-02,1.115687191486358643e-04
7.505722343921661377e-02,7.518800348043441772e-02,1.307800412178039551e-04
-6.255907565355300903e-02,-6.253799796104431152e-02,2.107769250869750977e-05
-4.674906656146049500e-02,-4.677600041031837463e-02,2.693384885787963867e-05
5.421282723546028137e-02,5.419699847698211670e-02,1.582875847816467285e-05
-5.444242060184478760e-02,-5.450600013136863708e-02,6.357952952384948730e-05
8.457822841592133045e-04,6.200000061653554440e-04,2.257822779938578606e-04
3.768663108348846436e-02,3.780199959874153137e-02,1.153685152530670166e-04
7.717773318290710449e-02,7.703699916601181030e-02,1.407340168952941895e-04
3.571964055299758911e-02,3.563499823212623596e-02,8.464232087135314941e-05
7.366648316383361816e-02,7.364699989557266235e-02,1.948326826095581055e-05
-9.340804070234298706e-03,-9.300000034272670746e-03,4.080403596162796021e-05
-7.785581052303314209e-02,-7.796200364828109741e-02,1.061931252479553223e-04
-4.675849527120590210e-02,-4.677600041031837463e-02,1.750513911247253418e-05
-4.580174386501312256e-02,-4.584800079464912415e-02,4.625692963600158691e-05
5.069217458367347717e-02,5.079599842429161072e-02,1.038238406181335449e-04
6.775582581758499146e-02,6.778600066900253296e-02,3.017485141754150391e-05
-3.203088045120239258e-02,-3.191899880766868591e-02,1.118816435337066650e-04
-4.804370552301406860e-02,-4.801300168037414551e-02,3.070384263992309570e-05
6.837570667266845703e-02,6.840299814939498901e-02,2.729147672653198242e-05
7.733301073312759399e-02,7.734499871730804443e-02,1.198798418045043945e-05
-6.443648785352706909e-02,-6.439100205898284912e-02,4.548579454421997070e-05
-4.904317483305931091e-02,-4.924999922513961792e-02,2.068243920803070068e-04
6.965126842260360718e-02,6.963700056076049805e-02,1.426786184310913086e-05
-4.302496463060379028e-02,-4.337299987673759460e-02,3.480352461338043213e-04
-6.469233892858028412e-03,-6.510000210255384445e-03,4.076631739735603333e-05
1.845525763928890228e-02,1.859799958765506744e-02,1.427419483661651611e-04
1.596826501190662384e-02,1.611899957060813904e-02,1.507345587015151978e-04
2.585180290043354034e-02,2.572399936616420746e-02,1.278035342693328857e-04
-5.738247185945510864e-02,-5.728700011968612671e-02,9.547173976898193359e-05
-4.274600744247436523e-02,-4.275399819016456604e-02,7.990747690200805664e-06
3.386989235877990723e-02,3.377699851989746094e-02,9.289383888244628906e-05
-3.463828191161155701e-02,-3.470600023865699768e-02,6.771832704544067383e-05
1.679658889770507812e-02,1.673799939453601837e-02,5.858950316905975342e-05
-2.675183489918708801e-02,-2.665399946272373199e-02,9.783543646335601807e-05
4.196394979953765869e-02,4.213500022888183594e-02,1.710504293441772461e-04
-3.669690340757369995e-02,-3.656399995088577271e-02,1.329034566879272461e-04
4.542009904980659485e-02,4.553800076246261597e-02,1.179017126560211182e-04
-6.892868131399154663e-02,-6.902000308036804199e-02,9.132176637649536133e-05
