Output,Target,Error
-7.153163105249404907e-02,-7.148800045251846313e-02,4.363059997558593750e-05
5.964376404881477356e-02,5.975899845361709595e-02,1.152344048023223877e-04
5.826906859874725342e-02,5.821400135755538940e-02,5.506724119186401367e-05
-2.958994731307029724e-02,-2.975100092589855194e-02,1.610536128282546997e-04
4.016443714499473572e-02,4.027799889445304871e-02,1.135617494583129883e-04
1.775518245995044708e-02,1.766799949109554291e-02,8.718296885490417480e-05
4.576387628912925720e-02,4.584800079464912415e-02,8.412450551986694336e-05
6.925021857023239136e-02,6.932900100946426392e-02,7.878243923187255859e-05
-4.077829793095588684e-02,-4.089700058102607727e-02,1.187026500701904297e-04
3.665787354111671448e-02,3.656399995088577271e-02,9.387359023094177246e-05
6.042156741023063660e-02,6.037700176239013672e-02,4.456564784049987793e-05
-7.361215353012084961e-02,-7.364699989557266235e-02,3.484636545181274414e-05
-1.141367852687835693e-02,-1.146900001913309097e-02,5.532149225473403931e-05
-6.477168202400207520e-02,-6.469999998807907104e-02,7.168203592300415039e-05
4.898722469806671143e-02,4.894100129604339600e-02,4.622340202331542969e-05
6.623063236474990845e-02,6.624300032854080200e-02,1.236796379089355469e-05
1.174968201667070389e-02,1.177900005131959915e-02,2.931803464889526367e-05
-7.214249670505523682e-02,-7.210499793291091919e-02,3.749877214431762695e-05
-3.136590495705604553e-02,-3.130000084638595581e-02,6.590411067008972168e-05
-7.502533495426177979e-02,-7.518800348043441772e-02,1.626685261726379395e-04
5.498708412051200867e-02,5.481500178575515747e-02,1.720823347568511963e-04
5.663321912288665771e-02,5.666900053620338440e-02,3.578141331672668457e-05
-1.689575845375657082e-03,-1.550000044517219067e-03,1.395758008584380150e-04
-4.346682224422693253e-03,-4.339999984949827194e-03,6.682239472866058350e-06
-1.522088795900344849e-02,-1.518900040537118912e-02,3.188755363225936890e-05
-5.102707073092460632e-02,-5.110500007867813110e-02,7.792934775352478027e-05
9.383136406540870667e-03,9.300000034272670746e-03,8.313637226819992065e-05
1.606134139001369476e-02,1.611899957060813904e-02,5.765818059444427490e-05
4.617420583963394165e-02,4.615699872374534607e-02,1.720711588859558105e-05
-4.038869962096214294e-02,-4.027799889445304871e-02,1.107007265090942383e-04
6.237124279141426086e-02,6.222999840974807739e-02,1.412443816661834717e-04
-2.954403869807720184e-02,-2.975100092589855194e-02,2.069622278213500977e-04
-9.466052870266139507e-04,-9.299999801442027092e-04,1.660530688241124153e-05
-5.280115455389022827e-02,-5.296000093221664429e-02,1.588463783264160156e-04
1.702982001006603241e-02,1.704799942672252655e-02,1.817941665649414062e-05
3.961089998483657837e-02,3.965900093317031860e-02,4.810094833374023438e-05
-5.722695589065551758e-02,-5.728700011968612671e-02,6.004422903060913086e-05
7.410272955894470215e-02,7.426299899816513062e-02,1.602694392204284668e-04
6.118858233094215393e-02,6.130300089716911316e-02,1.144185662269592285e-04
-3.569758310914039612e-02,-3.563499823212623596e-02,6.258487701416015625e-05
5.206158384680747986e-02,5.203299969434738159e-02,2.858415246009826660e-05
-4.415821284055709839e-02,-4.399200156331062317e-02,1.662112772464752197e-04
-3.967024013400077820e-02,-3.965900093317031860e-02,1.123920083045959473e-05
4.753464367240667343e-03,4.650000017136335373e-03,1.034643501043319702e-04
3.222192451357841492e-02,3.222899883985519409e-02,7.074326276779174805e-06
-1.089481171220541000e-03,-9.299999801442027092e-04,1.594811910763382912e-04
-2.948025427758693695e-02,-2.944100089371204376e-02,3.925338387489318848e-05
3.800145164132118225e-02,3.811199963092803955e-02,1.105479896068572998e-04
-6.167870387434959412e-02,-6.161199882626533508e-02,6.670504808425903320e-05
5.523366853594779968e-02,5.512399971485137939e-02,1.096688210964202881e-04
-5.676072835922241211e-02,-5.666900053620338440e-02,9.172782301902770996e-05
4.234306514263153076e-02,4.244399815797805786e-02,1.009330153465270996e-04
7.681599259376525879e-02,7.642100006341934204e-02,3.949925303459167480e-04
