Output,Target,Error
1.707608811557292938e-02,1.735799945890903473e-02,2.819113433361053467e-04
-7.431221753358840942e-02,-7.426299899816513062e-02,4.921853542327880859e-05
2.492510899901390076e-02,2.510499954223632812e-02,1.798905432224273682e-04
-2.923369407653808594e-02,-2.913199923932552338e-02,1.016948372125625610e-04
-4.979308322072029114e-02,-4.986900091171264648e-02,7.591769099235534668e-05
-7.641118764877319336e-02,-7.580400258302688599e-02,6.071850657463073730e-04
3.259744867682456970e-02,3.253899887204170227e-02,5.844980478286743164e-05
1.988990604877471924e-02,1.983699947595596313e-02,5.290657281875610352e-05
-6.851648539304733276e-02,-6.840299814939498901e-02,1.134872436523437500e-04
1.952186226844787598e-02,1.952799968421459198e-02,6.137415766716003418e-06
2.161392383277416229e-02,2.262599952518939972e-02,1.012075692415237427e-03
5.273887142539024353e-02,5.265099927783012390e-02,8.787214756011962891e-05
-1.373008079826831818e-02,-1.487900037318468094e-02,1.148919574916362762e-03
6.101639568805694580e-02,6.099399924278259277e-02,2.239644527435302734e-05
-3.587097302079200745e-02,-3.625399991869926453e-02,3.830268979072570801e-04
7.711821794509887695e-02,7.703699916601181030e-02,8.121877908706665039e-05
2.296406403183937073e-02,2.355599962174892426e-02,5.919355899095535278e-04
6.701941788196563721e-02,6.624300032854080200e-02,7.764175534248352051e-04
-1.437990809790790081e-03,-1.550000044517219067e-03,1.120092347264289856e-04
1.395052298903465271e-02,1.394900027662515640e-02,1.522712409496307373e-06
2.061816863715648651e-02,2.076699957251548767e-02,1.488309353590011597e-04
-3.086039237678050995e-02,-3.099000081419944763e-02,1.296084374189376831e-04
3.095773514360189438e-03,3.719999920576810837e-03,6.242264062166213989e-04
-5.341114103794097900e-02,-5.388800054788589478e-02,4.768595099449157715e-04
-3.434738516807556152e-02,-3.408699855208396912e-02,2.603866159915924072e-04
3.495923429727554321e-02,3.532499819993972778e-02,3.657639026641845703e-04
-3.488334640860557556e-02,-3.501600027084350586e-02,1.326538622379302979e-04
1.680606976151466370e-02,1.673799939453601837e-02,6.807036697864532471e-05
-6.700599193572998047e-02,-6.655199825763702393e-02,4.539936780929565430e-04
3.743796423077583313e-02,3.749199956655502319e-02,5.403533577919006348e-05
7.799368351697921753e-02,7.703699916601181030e-02,9.566843509674072266e-04
4.518044739961624146e-02,4.522899910807609558e-02,4.855170845985412598e-05
5.578985065221786499e-02,5.512399971485137939e-02,6.658509373664855957e-04
-6.848203390836715698e-02,-6.809499859809875488e-02,3.870353102684020996e-04
-1.797080039978027344e-05,-1.240000012330710888e-03,1.222029211930930614e-03
4.691349342465400696e-02,4.739399999380111694e-02,4.805065691471099854e-04
-2.489188872277736664e-02,-2.696299925446510315e-02,2.071110531687736511e-03
1.801574486307799816e-03,2.480000024661421776e-03,6.784255383536219597e-04
-6.222242861986160278e-02,-6.222999840974807739e-02,7.569789886474609375e-06
2.896802872419357300e-02,2.944100089371204376e-02,4.729721695184707642e-04
7.039759308099746704e-02,7.025399804115295410e-02,1.435950398445129395e-04
-5.974221229553222656e-02,-5.975899845361709595e-02,1.678615808486938477e-05
-6.666689366102218628e-02,-6.655199825763702393e-02,1.148954033851623535e-04
-6.636660546064376831e-02,-6.624300032854080200e-02,1.236051321029663086e-04
-2.667686901986598969e-02,-2.851199917495250702e-02,1.835130155086517334e-03
-2.164218807592988014e-03,-2.480000024661421776e-03,3.157812170684337616e-04
-3.850645571947097778e-02,-3.842100128531455994e-02,8.545443415641784668e-05
1.489338371902704239e-02,1.487900037318468094e-02,1.438334584236145020e-05
5.378412827849388123e-02,5.388800054788589478e-02,1.038722693920135498e-04
2.583857625722885132e-02,2.603399939835071564e-02,1.954231411218643188e-04
6.453210860490798950e-02,6.439100205898284912e-02,1.411065459251403809e-04
7.674830406904220581e-02,7.672899961471557617e-02,1.930445432662963867e-05
3.778449899982661009e-04,3.100000030826777220e-04,6.784498691558837891e-05
8.954185061156749725e-03,9.920000098645687103e-03,9.658150374889373779e-04
-5.342212691903114319e-02,-5.357899889349937439e-02,1.568719744682312012e-04
-3.623392805457115173e-02,-3.625399991869926453e-02,2.007186412811279297e-05
-2.434635721147060394e-02,-2.479499951004981995e-02,4.486422985792160034e-04
2.108067274093627930e-04,1.240000012330710888e-03,1.029193284921348095e-03
-5.615295842289924622e-02,-5.605100095272064209e-02,1.019574701786041260e-04
-7.093431800603866577e-02,-7.087100297212600708e-02,6.331503391265869141e-05
-2.495517022907733917e-02,-2.696299925446510315e-02,2.007829025387763977e-03
