Output,Target,Error
7.783018797636032104e-02,7.765399664640426636e-02,1.761913299560546875e-04
5.852707847952842712e-02,5.852299928665161133e-02,4.079192876815795898e-06
5.769008398056030273e-02,5.759600177407264709e-02,9.408220648765563965e-05
-5.373763665556907654e-02,-5.388800054788589478e-02,1.503638923168182373e-04
5.408594012260437012e-02,5.419699847698211670e-02,1.110583543777465820e-04
-9.862330742180347443e-03,-1.085000019520521164e-02,9.876694530248641968e-04
2.242519706487655640e-02,2.262599952518939972e-02,2.008024603128433228e-04
5.661287344992160797e-03,5.580000113695859909e-03,8.128723129630088806e-05
7.738733291625976562e-02,7.734499871730804443e-02,4.233419895172119141e-05
2.029508911073207855e-02,2.045699954032897949e-02,1.619104295969009399e-04
-4.981999471783638000e-02,-4.955900087952613831e-02,2.609938383102416992e-04
1.252826862037181854e-02,1.270900014787912369e-02,1.807315275073051453e-04
4.427520558238029480e-02,4.399200156331062317e-02,2.832040190696716309e-04
6.189285591244697571e-02,6.192100048065185547e-02,2.814456820487976074e-05
6.572499871253967285e-02,6.439100205898284912e-02,1.333996653556823730e-03
-3.003452531993389130e-02,-3.006099909543991089e-02,2.647377550601959229e-05
-2.304689213633537292e-02,-2.386499941349029541e-02,8.181072771549224854e-04
3.775594383478164673e-02,3.873100131750106812e-02,9.750574827194213867e-04
1.277386024594306946e-02,1.270900014787912369e-02,6.486009806394577026e-05
-3.401552140712738037e-02,-3.408699855208396912e-02,7.147714495658874512e-05
4.559223353862762451e-02,4.553800076246261597e-02,5.423277616500854492e-05
3.678165376186370850e-02,3.687300160527229309e-02,9.134784340858459473e-05
2.679399959743022919e-02,2.789299935102462769e-02,1.098999753594398499e-03
-2.542528696358203888e-02,-2.572399936616420746e-02,2.987124025821685791e-04
4.566735774278640747e-02,4.553800076246261597e-02,1.293569803237915039e-04
5.253683193586766720e-04,3.100000030826777220e-04,2.153683162759989500e-04
3.076379373669624329e-02,3.068000078201293945e-02,8.379295468330383301e-05
2.030710689723491669e-03,2.169999992474913597e-03,1.392893027514219284e-04
-1.357482373714447021e-02,-1.425900030881166458e-02,6.841765716671943665e-04
7.087558973580598831e-03,7.129999808967113495e-03,4.244083538651466370e-05
1.574079133570194244e-02,1.704799942672252655e-02,1.307208091020584106e-03
-2.135807089507579803e-02,-2.138699963688850403e-02,2.892874181270599365e-05
-7.774448022246360779e-03,-9.300000034272670746e-03,1.525552012026309967e-03
-3.916083648800849915e-02,-3.934999927878379822e-02,1.891627907752990723e-04
1.189650874584913254e-02,1.270900014787912369e-02,8.124914020299911499e-04
