Wall time,Step,Value
1731453912.326756,4,0.0013002476189285517
1731453923.9960077,14,0.0005413301405496895
1731453925.1768863,15,0.0005549699417315423
1731453928.6807036,18,0.00046971632400527596
1731453929.8910336,19,0.0006757088121958077
1731453937.8705273,26,0.00028654129710048437
1731453938.9751906,27,0.0002866431896109134
1731453953.8495255,40,0.00013756711268797517
1731453961.9878736,47,7.904312951723114e-05
1731453963.1883016,48,7.611107139382511e-05
1731453964.3382258,49,8.447335130767897e-05
1731453970.145358,54,5.763717490481213e-05
1731453979.3850355,62,4.065343819092959e-05
1731453980.5382285,63,3.7779940612381324e-05
1731453984.0017762,66,3.7217610952211544e-05
1731453985.1471376,67,2.6432138838572428e-05
1731453988.5588336,70,2.8330181521596387e-05
1731453989.7408507,71,2.690373730729334e-05
1731453996.6409214,77,2.0334038708824664e-05
1731454002.1419144,82,1.5238145351759158e-05
1731454010.124519,89,1.4012856809131335e-05
1731454021.8685088,99,7.641678166692145e-06
1731454026.4983773,103,7.2382454163744114e-06
1731454031.0740147,107,6.261939233809244e-06
1731454047.1877863,121,3.4136637623305432e-06
1731454051.7594848,125,3.4633858376764692e-06
1731454052.9728591,126,2.849170869012596e-06
1731454055.2921112,128,2.64098866864515e-06
1731454057.6047053,130,4.569636075757444e-06
1731454064.588323,136,2.35364746004052e-06
1731454073.9907792,144,3.2448142519569956e-06
1731454076.2898479,146,3.6385204111866187e-06
1731454077.4530559,147,2.8322367597866105e-06
1731454080.9746668,150,2.037494823525776e-06
1731454089.003846,157,2.239408786408603e-06
1731454092.5056202,160,2.0611232685041614e-06
1731454094.878413,162,1.823396019062784e-06
1731454097.255903,164,2.0742445485666394e-06
1731454105.6714597,171,1.722335127851693e-06
1731454106.840425,172,1.812717641769268e-06
1731454112.6737528,177,1.6962683275778545e-06
1731454121.0698934,184,1.8457792521076044e-06
1731454122.2303016,185,1.8710226186158252e-06
1731454129.220303,191,1.3875549029762624e-06
1731454130.318082,192,1.5580743593091029e-06
1731454205.597873,203,1.4337098264149972e-06
1731454207.8357155,205,1.1148831617902033e-06
1731454217.056706,213,1.1943825484195258e-06
1731454219.3512337,215,1.0206230172116193e-06
1731454229.5127566,224,1.4247807484935038e-06
1731454235.4019845,229,1.783276616151852e-06
1731454253.0236373,244,1.4496487210635678e-06
1731454254.1888433,245,1.0185225391978747e-06
1731454269.2863271,258,6.583352956113231e-07
1731454270.5034397,259,6.93313609190227e-07
1731454271.6987882,260,7.897079967733589e-07
1731454284.4774933,271,6.696190553157066e-07
1731454287.93886,274,6.30186434591451e-07
1731454292.4434133,278,9.054895713234146e-07
1731454296.9687693,282,9.108243261835014e-07
1731454300.3257058,285,1.0021358320955187e-06
1731454303.5907178,288,1.2582563613250386e-06
1731454305.7655358,290,7.950416716084874e-07
1731454311.475736,295,8.133310984703712e-07
1731454313.8000684,297,1.088624799194804e-06
1731454314.8968399,298,5.506395268639608e-07
1731454325.9398618,308,8.494374696965679e-07
1731454330.4014997,312,4.834944320464274e-07
1731454335.006124,316,5.997586640660302e-07
1731454337.319454,318,4.6294371713884175e-07
1731454338.4902282,319,5.209453775023576e-07
1731454341.9587815,322,4.417099432885152e-07
1731454359.3510041,337,5.003017236049345e-07
1731454368.60812,345,6.275354849094583e-07
1731454369.7621348,346,4.3894280565837107e-07
1731454383.1739173,358,4.829998943023384e-07
1731454389.7793915,364,4.848804451285105e-07
1731454390.8633518,365,4.116045886348729e-07
1731454391.9500797,366,5.126915425535117e-07
1731454405.1102035,378,9.790034027901129e-07
1731454414.0159938,386,3.3826009371296095e-07
1731454418.4626086,390,5.141622523296974e-07
1731454420.7070076,392,3.3571885182936967e-07
1731454426.4268498,397,4.451499933111336e-07
1731454495.7080047,402,2.490994575055083e-07
1731454498.0169954,404,3.3325636650261004e-07
1731454510.1228216,415,3.415718765609199e-07
1731454516.9399233,421,3.0578547693949076e-07
1731454518.0891416,422,2.457267385125306e-07
1731454533.7029364,436,2.4570522327849176e-07
1731454534.7757423,437,3.0123746341814694e-07
