Output,Target,Error
6.439971923828125000e-02,6.439100205898284912e-02,8.717179298400878906e-06
6.038651615381240845e-02,6.037700176239013672e-02,9.514391422271728516e-06
-3.360460698604583740e-02,-3.377699851989746094e-02,1.723915338516235352e-04
7.089889794588088989e-02,7.087100297212600708e-02,2.789497375488281250e-05
6.449270248413085938e-02,6.439100205898284912e-02,1.017004251480102539e-04
-6.195116415619850159e-02,-6.192100048065185547e-02,3.016367554664611816e-05
6.633337121456861496e-03,6.510000210255384445e-03,1.233369112014770508e-04
7.033852487802505493e-02,7.025399804115295410e-02,8.452683687210083008e-05
4.915090650320053101e-02,4.894100129604339600e-02,2.099052071571350098e-04
-2.327347360551357269e-02,-2.324599958956241608e-02,2.747401595115661621e-05
2.904060296714305878e-02,2.913199923932552338e-02,9.139627218246459961e-05
6.961607933044433594e-02,6.963700056076049805e-02,2.092123031616210938e-05
3.483368083834648132e-02,3.470600023865699768e-02,1.276805996894836426e-04
-6.282091140747070312e-02,-6.284700334072113037e-02,2.609193325042724609e-05
-2.907298319041728973e-02,-2.913199923932552338e-02,5.901604890823364258e-05
4.040642455220222473e-02,4.058799892663955688e-02,1.815743744373321533e-04
6.753088533878326416e-02,6.747700273990631104e-02,5.388259887695312500e-05
-2.335292473435401917e-02,-2.293599955737590790e-02,4.169251769781112671e-04
6.957110017538070679e-02,6.963700056076049805e-02,6.590038537979125977e-05
-6.869818270206451416e-02,-6.871200352907180786e-02,1.382082700729370117e-05
-2.195022441446781158e-02,-2.200599946081638336e-02,5.577504634857177734e-05
3.822448849678039551e-02,3.811199963092803955e-02,1.124888658523559570e-04
-7.117033749818801880e-02,-7.118000090122222900e-02,9.663403034210205078e-06
6.096651405096054077e-02,6.099399924278259277e-02,2.748519182205200195e-05
-6.900820881128311157e-02,-6.902000308036804199e-02,1.179426908493041992e-05
-4.779352620244026184e-02,-4.770400002598762512e-02,8.952617645263671875e-05
-2.132526785135269165e-02,-2.138699963688850403e-02,6.173178553581237793e-05
-5.954336002469062805e-02,-5.945000052452087402e-02,9.335950016975402832e-05
-2.975333668291568756e-02,-2.975100092589855194e-02,2.335757017135620117e-06
-7.243512198328971863e-03,-7.439999841153621674e-03,1.964876428246498108e-04
4.331619292497634888e-02,4.337299987673759460e-02,5.680695176124572754e-05
4.495333880186080933e-02,4.492000117897987366e-02,3.333762288093566895e-05
-6.906122714281082153e-02,-6.902000308036804199e-02,4.122406244277954102e-05
8.447643369436264038e-03,8.679999969899654388e-03,2.323566004633903503e-04
-6.853087991476058960e-02,-6.840299814939498901e-02,1.278817653656005859e-04
4.978426173329353333e-02,4.986900091171264648e-02,8.473917841911315918e-05
6.349275261163711548e-02,6.346499919891357422e-02,2.775341272354125977e-05
-4.516283050179481506e-02,-4.522899910807609558e-02,6.616860628128051758e-05
-3.279290627688169479e-03,-3.409999888390302658e-03,1.307092607021331787e-04
-2.107557468116283417e-02,-2.107699960470199585e-02,1.424923539161682129e-06
-3.525659069418907166e-02,-3.532499819993972778e-02,6.840750575065612793e-05
4.297074303030967712e-02,4.306299984455108643e-02,9.225681424140930176e-05
7.533594965934753418e-02,7.518800348043441772e-02,1.479461789131164551e-04
3.868592157959938049e-02,3.873100131750106812e-02,4.507973790168762207e-05
3.591916710138320923e-02,3.594499826431274414e-02,2.583116292953491211e-05
5.614637210965156555e-02,5.605100095272064209e-02,9.537115693092346191e-05
6.398835033178329468e-02,6.408199667930603027e-02,9.364634752273559570e-05
4.016527161002159119e-02,4.027799889445304871e-02,1.127272844314575195e-04
-4.925029352307319641e-02,-4.924999922513961792e-02,2.942979335784912109e-07
2.223353832960128784e-03,2.480000024661421776e-03,2.566461917012929916e-04
-3.671802207827568054e-02,-3.656399995088577271e-02,1.540221273899078369e-04
-8.529906626790761948e-04,-6.200000061653554440e-04,2.329906565137207508e-04
4.342946410179138184e-02,4.337299987673759460e-02,5.646422505378723145e-05
-6.462306529283523560e-02,-6.469999998807907104e-02,7.693469524383544922e-05
-3.955344855785369873e-02,-3.996900096535682678e-02,4.155524075031280518e-04
1.594400964677333832e-02,1.580899953842163086e-02,1.350101083517074585e-04
-3.306515142321586609e-02,-3.315800055861473083e-02,9.284913539886474609e-05
-1.543645095080137253e-02,-1.518900040537118912e-02,2.474505454301834106e-04
-7.818982750177383423e-02,-7.827000319957733154e-02,8.017569780349731445e-05
-5.391881614923477173e-02,-5.388800054788589478e-02,3.081560134887695312e-05
4.534900560975074768e-02,4.522899910807609558e-02,1.200065016746520996e-04
2.213922142982482910e-02,2.231599949300289154e-02,1.767780631780624390e-04
5.765071883797645569e-02,5.759600177407264709e-02,5.471706390380859375e-05
-3.799796476960182190e-02,-3.780199959874153137e-02,1.959651708602905273e-04
-6.594531238079071045e-02,-6.593400239944458008e-02,1.130998134613037109e-05
-3.101953538134694099e-03,-3.409999888390302658e-03,3.080463502556085587e-04
6.008436158299446106e-02,6.006800010800361633e-02,1.636147499084472656e-05
1.989317126572132111e-02,1.983699947595596313e-02,5.617178976535797119e-05
-3.688569366931915283e-02,-3.687300160527229309e-02,1.269206404685974121e-05
7.358928769826889038e-02,7.364699989557266235e-02,5.771219730377197266e-05
