Output,Target,Error
2.194745652377605438e-02,2.200599946081638336e-02,5.854293704032897949e-05
6.418725103139877319e-02,6.408199667930603027e-02,1.052543520927429199e-04
-5.265591666102409363e-02,-5.265099927783012390e-02,4.917383193969726562e-06
2.894214913249015808e-02,2.913199923932552338e-02,1.898501068353652954e-04
7.426881045103073120e-02,7.426299899816513062e-02,5.811452865600585938e-06
-1.801873557269573212e-02,-1.797799952328205109e-02,4.073604941368103027e-05
-4.555217176675796509e-02,-4.553800076246261597e-02,1.417100429534912109e-05
3.775144368410110474e-02,3.749199956655502319e-02,2.594441175460815430e-04
9.559891186654567719e-03,9.610000066459178925e-03,5.010887980461120605e-05
-2.463496848940849304e-02,-2.448499947786331177e-02,1.499690115451812744e-04
4.756351932883262634e-02,4.739399999380111694e-02,1.695193350315093994e-04
6.701229512691497803e-02,6.716900318861007690e-02,1.567080616950988770e-04
4.319109395146369934e-02,4.337299987673759460e-02,1.819059252738952637e-04
-1.483510131947696209e-03,-1.550000044517219067e-03,6.648991256952285767e-05
-7.877574115991592407e-02,-7.888600230216979980e-02,1.102611422538757324e-04
7.015027850866317749e-02,6.994599848985671997e-02,2.042800188064575195e-04
7.365029305219650269e-02,7.364699989557266235e-02,3.293156623840332031e-06
4.561843350529670715e-02,4.584800079464912415e-02,2.295672893524169922e-04
-4.639354348182678223e-02,-4.646699875593185425e-02,7.345527410507202148e-05
-1.407240331172943115e-02,-1.394900027662515640e-02,1.234030351042747498e-04
-5.348257720470428467e-02,-5.357899889349937439e-02,9.642168879508972168e-05
-4.716385155916213989e-02,-4.708499833941459656e-02,7.885321974754333496e-05
-7.177733629941940308e-02,-7.179600000381469727e-02,1.866370439529418945e-05
-5.416040867567062378e-02,-5.419699847698211670e-02,3.658980131149291992e-05
-6.622449308633804321e-02,-6.624300032854080200e-02,1.850724220275878906e-05
-7.865995913743972778e-02,-7.857800275087356567e-02,8.195638656616210938e-05
7.806984335184097290e-02,7.827000319957733154e-02,2.001598477363586426e-04
7.063125818967819214e-02,7.056300342082977295e-02,6.825476884841918945e-05
-3.809753060340881348e-02,-3.811199963092803955e-02,1.446902751922607422e-05
3.254701569676399231e-02,3.253899887204170227e-02,8.016824722290039062e-06
-4.356858879327774048e-02,-4.368200153112411499e-02,1.134127378463745117e-04
5.432137101888656616e-02,5.419699847698211670e-02,1.243725419044494629e-04
4.036416858434677124e-02,4.058799892663955688e-02,2.238303422927856445e-04
-1.556996721774339676e-02,-1.549900043755769730e-02,7.096678018569946289e-05
-5.446176230907440186e-02,-5.450600013136863708e-02,4.423782229423522949e-05
1.632651686668395996e-02,1.611899957060813904e-02,2.075172960758209229e-04
5.301269516348838806e-02,5.296000093221664429e-02,5.269423127174377441e-05
2.063745260238647461e-02,2.045699954032897949e-02,1.804530620574951172e-04
2.392287552356719971e-02,2.386499941349029541e-02,5.787611007690429688e-05
1.993884146213531494e-02,1.983699947595596313e-02,1.018419861793518066e-04
-1.419954095035791397e-02,-1.425900030881166458e-02,5.945935845375061035e-05
2.404768392443656921e-02,2.386499941349029541e-02,1.826845109462738037e-04
6.150834634900093079e-02,6.161199882626533508e-02,1.036524772644042969e-04
-2.160949073731899261e-02,-2.138699963688850403e-02,2.224911004304885864e-04
6.056920159608125687e-03,5.890000145882368088e-03,1.669200137257575989e-04
-7.655078917741775513e-02,-7.642100006341934204e-02,1.297891139984130859e-04
6.452824175357818604e-02,6.469999998807907104e-02,1.717582345008850098e-04
3.987280651926994324e-02,3.996900096535682678e-02,9.619444608688354492e-05
5.734659731388092041e-02,5.728700011968612671e-02,5.959719419479370117e-05
