Wall time,Step,Value
1731821007.0308473,3,0.0030741558875888586
1731821009.1173797,4,0.0029812597203999758
1731821022.1108046,10,0.0018425792222842574
1731821030.3733442,14,0.0013044045772403479
1731821032.452898,15,0.001282815937884152
1731821038.6293776,18,0.0010122960666194558
1731821040.6792371,19,0.0009353792993351817
1731821042.7215896,20,0.0008782525546848774
1731821046.4182239,22,0.0008592341328039765
1731821048.2580998,23,0.0008362783119082451
1731821054.493985,26,0.0007320366567000747
1731821056.5878727,27,0.0007218961254693568
1731821083.20568,40,0.0001382480695610866
1731821097.2519667,47,7.633377390448004e-05
1731821099.2428339,48,7.458007894456387e-05
1731821101.3810813,49,7.824883505236357e-05
1731821105.4913955,51,5.997721018502489e-05
1731821111.299466,54,4.309897849452682e-05
1731821117.4480262,57,3.340845796628855e-05
1731821123.4184556,60,2.4108252546284348e-05
1731821125.3708565,61,2.3224605683935806e-05
1731821127.4372957,62,2.4019114789552987e-05
1731821129.4561217,63,1.8573631678009406e-05
1731821255.3350937,65,1.6411398974014446e-05
1731821257.1013982,66,1.5961517419782467e-05
1731821258.8572664,67,1.551444802316837e-05
1731821260.6160393,68,1.4291128536569886e-05
1731821264.1491382,70,9.97986899164971e-06
1731821265.9047506,71,9.436105756321922e-06
1731821276.5621738,77,5.417058218881721e-06
1731821280.0707397,79,5.311207132763229e-06
1731821285.4259646,82,5.286135092319455e-06
1731821297.7307858,89,3.336029749334557e-06
1731821316.1113718,99,2.8815638870582916e-06
1731821323.3973455,103,2.308945568074705e-06
1731821329.2880769,106,2.2565977815247606e-06
1731821331.2580307,107,2.1869414013053756e-06
1731821334.9653296,109,2.214472715422744e-06
1731821347.6271229,116,1.8934230183731415e-06
1731821356.4236326,121,1.7517083961138269e-06
1731821364.3781784,125,1.7328959529550048e-06
1731821366.3469381,126,1.7504414699942572e-06
1731821493.9230065,128,1.6327608136634808e-06
1731821497.694599,130,1.646987129788613e-06
1731821509.1954484,136,1.6436372334283078e-06
1731821510.9564257,137,1.4960473890823778e-06
1731821523.303298,144,1.3540472991735442e-06
1731821526.874425,146,1.2954935755260522e-06
1731821528.723173,147,1.4147987030810327e-06
1731821534.1724377,150,1.2184138995507965e-06
1731821546.40263,157,1.1506242572068004e-06
1731821551.799542,160,1.0443130804560496e-06
1731821555.3026755,162,1.1227102731936611e-06
1731821558.8297896,164,1.055291022566962e-06
1731821569.5698674,170,1.0002499948313925e-06
1731821571.310453,171,1.0055586017188034e-06
1731821573.0699034,172,9.237206768375472e-07
1731821581.9694247,177,1.0239812127110781e-06
1731821594.4140306,184,1.0215650263489806e-06
1731821596.1828778,185,7.888504569564248e-07
1731821597.9870496,186,8.841948897497787e-07
1731821605.4038694,190,8.221238090300176e-07
1731821607.1418219,191,8.59691851928801e-07
1731821732.904444,192,8.694292432664952e-07
1731821745.4417286,199,7.765167424622632e-07
1731821750.8501382,202,7.951541647344129e-07
1731821752.662587,203,7.522519922531501e-07
1731821754.4336343,204,7.066299758662353e-07
1731821756.1971302,205,7.802909181009454e-07
1731821759.752634,207,7.661365089006722e-07
1731821766.920374,211,7.096972467479645e-07
1731821770.540258,213,7.00742475601146e-07
1731821774.1610644,215,7.153357728384435e-07
1731821781.1914134,219,6.902765221639129e-07
1731821782.96215,220,7.32759986021847e-07
1731821784.8044422,221,7.009721798567625e-07
1731821790.2334366,224,7.100776429069811e-07
1731821799.7563527,229,6.541858965647407e-07
1731821819.155907,239,6.171893573991838e-07
1731821828.509092,244,5.737838364439085e-07
1731821830.2918785,245,6.553206048920401e-07
1731821832.088157,246,6.47196316094778e-07
1731821979.798885,258,5.524995003725053e-07
1731821981.5893755,259,5.885441396458191e-07
1731821983.3662994,260,5.425298468253459e-07
1731822003.3693323,271,5.400024178925378e-07
1731822008.6402187,274,5.259985869088268e-07
