Output,Target,Error
2.571911737322807312e-02,2.572399936616420746e-02,4.881992936134338379e-06
-1.899517886340618134e-02,-1.890799961984157562e-02,8.717924356460571289e-05
6.547461729496717453e-03,6.819999776780605316e-03,2.725380472838878632e-04
-6.593177467584609985e-02,-6.624300032854080200e-02,3.112256526947021484e-04
2.342110872268676758e-02,2.355599962174892426e-02,1.348908990621566772e-04
4.770701006054878235e-02,4.770400002598762512e-02,3.010034561157226562e-06
3.789241611957550049e-02,3.780199959874153137e-02,9.041652083396911621e-05
-6.432817131280899048e-02,-6.439100205898284912e-02,6.283074617385864258e-05
5.664031207561492920e-02,5.666900053620338440e-02,2.868846058845520020e-05
5.165191739797592163e-02,5.172400176525115967e-02,7.208436727523803711e-05
8.795943111181259155e-03,8.679999969899654388e-03,1.159431412816047668e-04
-6.258736550807952881e-02,-6.253799796104431152e-02,4.936754703521728516e-05
-7.369615137577056885e-02,-7.364699989557266235e-02,4.915148019790649414e-05
3.967581689357757568e-02,3.965900093317031860e-02,1.681596040725708008e-05
5.738133564591407776e-02,5.728700011968612671e-02,9.433552622795104980e-05
-3.533179685473442078e-02,-3.532499819993972778e-02,6.798654794692993164e-06
-1.365479175001382828e-02,-1.363900024443864822e-02,1.579150557518005371e-05
9.504814632236957550e-03,9.610000066459178925e-03,1.051854342222213745e-04
-5.384593456983566284e-02,-5.388800054788589478e-02,4.206597805023193359e-05
-7.215008139610290527e-02,-7.210499793291091919e-02,4.508346319198608398e-05
-7.344909757375717163e-02,-7.333800196647644043e-02,1.110956072807312012e-04
-6.729929149150848389e-02,-6.716900318861007690e-02,1.302883028984069824e-04
-2.113470062613487244e-02,-2.138699963688850403e-02,2.522990107536315918e-04
-2.609994821250438690e-02,-2.603399939835071564e-02,6.594881415367126465e-05
4.773283004760742188e-02,4.770400002598762512e-02,2.883002161979675293e-05
-7.627116143703460693e-02,-7.642100006341934204e-02,1.498386263847351074e-04
6.977868080139160156e-02,6.963700056076049805e-02,1.416802406311035156e-04
6.061363965272903442e-02,6.068500131368637085e-02,7.136166095733642578e-05
5.281176418066024780e-02,5.296000093221664429e-02,1.482367515563964844e-04
4.181105270981788635e-02,4.182599857449531555e-02,1.494586467742919922e-05
2.540516294538974762e-02,2.541499957442283630e-02,9.836629033088684082e-06
-6.062715873122215271e-02,-6.068500131368637085e-02,5.784258246421813965e-05
-5.519578978419303894e-02,-5.512399971485137939e-02,7.179006934165954590e-05
-7.145830243825912476e-02,-7.148800045251846313e-02,2.969801425933837891e-05
-7.569605857133865356e-02,-7.580400258302688599e-02,1.079440116882324219e-04
4.088289290666580200e-02,4.089700058102607727e-02,1.410767436027526855e-05
-6.564584374427795410e-02,-6.562600284814834595e-02,1.984089612960815430e-05
6.145154312252998352e-02,6.130300089716911316e-02,1.485422253608703613e-04
6.809087097644805908e-02,6.809499859809875488e-02,4.127621650695800781e-06
-5.985579639673233032e-02,-5.975899845361709595e-02,9.679794311523437500e-05
2.657918259501457214e-02,2.665399946272373199e-02,7.481686770915985107e-05
-2.146553713828325272e-03,-2.169999992474913597e-03,2.344627864658832550e-05
6.166522577404975891e-02,6.130300089716911316e-02,3.622248768806457520e-04
-7.281762361526489258e-02,-7.272200286388397217e-02,9.562075138092041016e-05
5.465088412165641785e-02,5.450600013136863708e-02,1.448839902877807617e-04
4.990713670849800110e-02,4.986900091171264648e-02,3.813579678535461426e-05
2.269373089075088501e-02,2.262599952518939972e-02,6.773136556148529053e-05
-6.288746744394302368e-02,-6.284700334072113037e-02,4.046410322189331055e-05
6.326808943413197994e-04,9.299999801442027092e-04,2.973190858028829098e-04
-7.178043574094772339e-02,-7.179600000381469727e-02,1.556426286697387695e-05
-3.699374198913574219e-02,-3.718300163745880127e-02,1.892596483230590820e-04
-6.676190346479415894e-02,-6.655199825763702393e-02,2.099052071571350098e-04
-7.206028327345848083e-03,-7.129999808967113495e-03,7.602851837873458862e-05
-7.130567729473114014e-02,-7.118000090122222900e-02,1.256763935089111328e-04
-2.875369414687156677e-02,-2.882199920713901520e-02,6.830506026744842529e-05
-5.933424457907676697e-02,-5.914099887013435364e-02,1.932457089424133301e-04
-6.629911810159683228e-02,-6.624300032854080200e-02,5.611777305603027344e-05
