Output,Target,Error
3.863877803087234497e-02,3.873100131750106812e-02,9.222328662872314453e-05
4.394458234310150146e-02,4.399200156331062317e-02,4.741922020912170410e-05
-3.096729144454002380e-02,-3.099000081419944763e-02,2.270936965942382812e-05
-5.949858948588371277e-02,-5.945000052452087402e-02,4.858896136283874512e-05
-6.376586854457855225e-02,-6.377299875020980835e-02,7.130205631256103516e-06
2.199758589267730713e-02,2.200599946081638336e-02,8.413568139076232910e-06
3.119050338864326477e-02,3.130000084638595581e-02,1.094974577426910400e-04
-3.672629827633500099e-03,-3.719999920576810837e-03,4.737009294331073761e-05
2.534813992679119110e-02,2.541499957442283630e-02,6.685964763164520264e-05
4.448215011507272720e-03,4.650000017136335373e-03,2.017850056290626526e-04
2.406300418078899384e-02,2.417499944567680359e-02,1.119952648878097534e-04
1.016304083168506622e-02,1.023000013083219528e-02,6.695929914712905884e-05
7.716684788465499878e-02,7.703699916601181030e-02,1.298487186431884766e-04
-4.214151948690414429e-02,-4.213500022888183594e-02,6.519258022308349609e-06
-4.154507070779800415e-02,-4.151599854230880737e-02,2.907216548919677734e-05
-1.465357840061187744e-02,-1.456900034099817276e-02,8.457805961370468140e-05
-4.019601270556449890e-02,-4.027799889445304871e-02,8.198618888854980469e-05
-3.180738911032676697e-02,-3.191899880766868591e-02,1.116096973419189453e-04
-4.630014766007661819e-03,-4.650000017136335373e-03,1.998525112867355347e-05
5.716618523001670837e-02,5.728700011968612671e-02,1.208148896694183350e-04
-5.561454687267541885e-03,-5.580000113695859909e-03,1.854542642831802368e-05
4.857329651713371277e-02,4.863199964165687561e-02,5.870312452316284180e-05
-3.975825384259223938e-02,-3.965900093317031860e-02,9.925290942192077637e-05
5.910271406173706055e-02,5.914099887013435364e-02,3.828480839729309082e-05
-6.692495942115783691e-02,-6.685999780893325806e-02,6.496161222457885742e-05
4.742996394634246826e-02,4.739399999380111694e-02,3.596395254135131836e-05
-4.085330292582511902e-02,-4.089700058102607727e-02,4.369765520095825195e-05
-1.252801716327667236e-02,-1.270900014787912369e-02,1.809829846024513245e-04
1.453910954296588898e-02,1.456900034099817276e-02,2.989079803228378296e-05
-4.857525974512100220e-02,-4.863199964165687561e-02,5.673989653587341309e-05
-1.846935367211699486e-03,-2.169999992474913597e-03,3.230646252632141113e-04
-5.107102915644645691e-02,-5.110500007867813110e-02,3.397092223167419434e-05
3.714551776647567749e-02,3.718300163745880127e-02,3.748387098312377930e-05
-6.037472561001777649e-02,-6.037700176239013672e-02,2.276152372360229492e-06
-6.534094363451004028e-02,-6.531699746847152710e-02,2.394616603851318359e-05
-2.276284992694854736e-02,-2.262599952518939972e-02,1.368504017591476440e-04
2.798119373619556427e-02,2.789299935102462769e-02,8.819438517093658447e-05
-3.856764640659093857e-03,-4.029999952763319016e-03,1.732353121042251587e-04
3.568032383918762207e-02,3.563499823212623596e-02,4.532560706138610840e-05
7.232749462127685547e-02,7.241299748420715332e-02,8.550286293029785156e-05
6.193150207400321960e-02,6.192100048065185547e-02,1.050159335136413574e-05
-3.906801342964172363e-02,-3.903999924659729004e-02,2.801418304443359375e-05
-7.399562746286392212e-02,-7.487999647855758667e-02,8.843690156936645508e-04
4.261298105120658875e-02,4.244399815797805786e-02,1.689828932285308838e-04
