Output,Target,Error
5.977602303028106689e-02,5.975899845361709595e-02,1.702457666397094727e-05
2.412899769842624664e-02,2.448499947786331177e-02,3.560017794370651245e-04
6.959664821624755859e-02,6.963700056076049805e-02,4.035234451293945312e-05
3.548108413815498352e-02,3.532499819993972778e-02,1.560859382152557373e-04
4.163907095789909363e-02,4.151599854230880737e-02,1.230724155902862549e-04
5.292459577322006226e-02,5.296000093221664429e-02,3.540515899658203125e-05
7.808940112590789795e-02,7.827000319957733154e-02,1.806020736694335938e-04
-2.244557999074459076e-02,-2.231599949300289154e-02,1.295804977416992188e-04
1.659450307488441467e-02,1.642899960279464722e-02,1.655034720897674561e-04
-1.926682889461517334e-04,0.000000000000000000e+00,1.926682889461517334e-04
4.342451691627502441e-02,4.337299987673759460e-02,5.151703953742980957e-05
-5.758984014391899109e-02,-5.759600177407264709e-02,6.161630153656005859e-06
4.950493201613426208e-02,4.955900087952613831e-02,5.406886339187622070e-05
7.788292318582534790e-02,7.796200364828109741e-02,7.908046245574951172e-05
3.214338049292564392e-02,3.130000084638595581e-02,8.433796465396881104e-04
-6.841591745615005493e-02,-6.840299814939498901e-02,1.291930675506591797e-05
-7.617515325546264648e-02,-7.611300051212310791e-02,6.215274333953857422e-05
-1.443008985370397568e-02,-1.456900034099817276e-02,1.389104872941970825e-04
5.099012702703475952e-02,5.079599842429161072e-02,1.941286027431488037e-04
-7.352438569068908691e-02,-7.333800196647644043e-02,1.863837242126464844e-04
2.648418396711349487e-02,2.665399946272373199e-02,1.698154956102371216e-04
5.443194881081581116e-02,5.450600013136863708e-02,7.405132055282592773e-05
-2.972660958766937256e-02,-2.975100092589855194e-02,2.439133822917938232e-05
-3.661796078085899353e-02,-3.656399995088577271e-02,5.396082997322082520e-05
-3.564735502004623413e-02,-3.563499823212623596e-02,1.235678791999816895e-05
-2.510452643036842346e-02,-2.448499947786331177e-02,6.195269525051116943e-04
-5.163789168000221252e-02,-5.172400176525115967e-02,8.611008524894714355e-05
7.402425259351730347e-02,7.426299899816513062e-02,2.387464046478271484e-04
-2.947431057691574097e-02,-2.913199923932552338e-02,3.423113375902175903e-04
-6.179788708686828613e-02,-6.161199882626533508e-02,1.858882606029510498e-04
-2.062558196485042572e-02,-2.076699957251548767e-02,1.414176076650619507e-04
7.493123412132263184e-02,7.487999647855758667e-02,5.123764276504516602e-05
4.992970451712608337e-02,4.986900091171264648e-02,6.070360541343688965e-05
-2.561336196959018707e-02,-2.572399936616420746e-02,1.106373965740203857e-04
-2.999030053615570068e-02,-3.006099909543991089e-02,7.069855928421020508e-05
5.992092564702033997e-02,6.006800010800361633e-02,1.470744609832763672e-04
7.721722126007080078e-02,7.734499871730804443e-02,1.277774572372436523e-04
7.128795981407165527e-02,7.148800045251846313e-02,2.000406384468078613e-04
3.164776042103767395e-02,3.160899877548217773e-02,3.876164555549621582e-05
-7.546563446521759033e-02,-7.518800348043441772e-02,2.776309847831726074e-04
7.569687068462371826e-02,7.580400258302688599e-02,1.071318984031677246e-04
7.484073191881179810e-02,7.487999647855758667e-02,3.926455974578857422e-05
3.052575327455997467e-02,3.037099912762641907e-02,1.547541469335556030e-04
4.012862220406532288e-02,3.996900096535682678e-02,1.596212387084960938e-04
-1.404253486543893814e-02,-1.301900018006563187e-02,1.023534685373306274e-03
-3.631375357508659363e-02,-3.625399991869926453e-02,5.975365638732910156e-05
7.792303711175918579e-02,7.796200364828109741e-02,3.896653652191162109e-05
-6.082165986299514771e-02,-6.068500131368637085e-02,1.366585493087768555e-04
5.662446096539497375e-02,5.697799846529960632e-02,3.535374999046325684e-04
-4.303930699825286865e-02,-4.306299984455108643e-02,2.369284629821777344e-05
3.801292181015014648e-02,3.811199963092803955e-02,9.907782077789306641e-05
-4.811313003301620483e-02,-4.801300168037414551e-02,1.001283526420593262e-04
-1.803541369736194611e-02,-1.797799952328205109e-02,5.741417407989501953e-05
-6.786064803600311279e-02,-6.747700273990631104e-02,3.836452960968017578e-04
-2.001501061022281647e-02,-1.983699947595596313e-02,1.780111342668533325e-04
-5.765147507190704346e-02,-5.759600177407264709e-02,5.547329783439636230e-05
4.571600630879402161e-02,4.584800079464912415e-02,1.319944858551025391e-04
-3.825515881180763245e-02,-3.811199963092803955e-02,1.431591808795928955e-04
3.461502119898796082e-02,3.470600023865699768e-02,9.097903966903686523e-05
-7.493598759174346924e-02,-7.487999647855758667e-02,5.599111318588256836e-05
-5.563487112522125244e-02,-5.790499970316886902e-02,2.270128577947616577e-03
-1.031228923238813877e-03,-9.299999801442027092e-04,1.012289430946111679e-04
-7.206984609365463257e-02,-7.210499793291091919e-02,3.515183925628662109e-05
7.208339124917984009e-02,7.303000241518020630e-02,9.466111660003662109e-04
-1.184829976409673691e-02,-1.208900008350610733e-02,2.407003194093704224e-04
3.991417586803436279e-02,3.903999924659729004e-02,8.741766214370727539e-04
-2.771951071918010712e-02,-2.789299935102462769e-02,1.734886318445205688e-04
3.904154524207115173e-02,3.934999927878379822e-02,3.084540367126464844e-04
7.015083450824022293e-03,6.819999776780605316e-03,1.950836740434169769e-04
-3.685665875673294067e-02,-3.656399995088577271e-02,2.926588058471679688e-04
4.216827079653739929e-02,4.213500022888183594e-02,3.327056765556335449e-05
5.764426197856664658e-03,5.580000113695859909e-03,1.844260841608047485e-04
1.828414201736450195e-02,1.828799955546855927e-02,3.857538104057312012e-06
-7.666216790676116943e-02,-7.642100006341934204e-02,2.411678433418273926e-04
-5.491241440176963806e-02,-5.450600013136863708e-02,4.064142704010009766e-04
-5.060990899801254272e-02,-5.048700049519538879e-02,1.229085028171539307e-04
2.959781512618064880e-02,2.944100089371204376e-02,1.568142324686050415e-04
6.080116704106330872e-02,6.068500131368637085e-02,1.161657273769378662e-04
6.793660670518875122e-02,6.778600066900253296e-02,1.506060361862182617e-04
-7.826863229274749756e-02,-7.919400185346603394e-02,9.253695607185363770e-04
-3.219417855143547058e-02,-3.222899883985519409e-02,3.482028841972351074e-05
-7.839140295982360840e-02,-7.857800275087356567e-02,1.865997910499572754e-04
