Output,Target,Error
-4.796701669692993164e-02,-4.801300168037414551e-02,4.598498344421386719e-05
6.400837749242782593e-02,6.377299875020980835e-02,2.353787422180175781e-04
5.115502327680587769e-02,5.110500007867813110e-02,5.002319812774658203e-05
5.144320428371429443e-02,5.141500011086463928e-02,2.820417284965515137e-05
-3.447534516453742981e-02,-3.439600020647048950e-02,7.934495806694030762e-05
-6.729531288146972656e-02,-6.747700273990631104e-02,1.816898584365844727e-04
-4.504043981432914734e-02,-4.461000114679336548e-02,4.304386675357818604e-04
5.041248351335525513e-02,4.986900091171264648e-02,5.434826016426086426e-04
3.147531673312187195e-02,3.099000081419944763e-02,4.853159189224243164e-04
-6.421788781881332397e-02,-6.439100205898284912e-02,1.731142401695251465e-04
-2.582348138093948364e-02,-2.572399936616420746e-02,9.948201477527618408e-05
-6.489857286214828491e-02,-6.469999998807907104e-02,1.985728740692138672e-04
2.706142142415046692e-02,2.727299928665161133e-02,2.115778625011444092e-04
7.619167119264602661e-02,7.580400258302688599e-02,3.876686096191406250e-04
4.288006573915481567e-03,4.339999984949827194e-03,5.199341103434562683e-05
2.015103586018085480e-03,2.169999992474913597e-03,1.548964064568281174e-04
-5.783171579241752625e-02,-5.790499970316886902e-02,7.328391075134277344e-05
-1.075681857764720917e-02,-1.054000016301870346e-02,2.168184146285057068e-04
9.968177415430545807e-03,9.920000098645687103e-03,4.817731678485870361e-05
-4.466247558593750000e-02,-4.461000114679336548e-02,5.247443914413452148e-05
5.747472122311592102e-02,5.728700011968612671e-02,1.877211034297943115e-04
-4.300379753112792969e-02,-4.306299984455108643e-02,5.920231342315673828e-05
4.712678864598274231e-02,4.739399999380111694e-02,2.672113478183746338e-04
-6.563222408294677734e-02,-6.562600284814834595e-02,6.221234798431396484e-06
-7.273939996957778931e-02,-7.303000241518020630e-02,2.906024456024169922e-04
1.956358924508094788e-02,1.921799965202808380e-02,3.455895930528640747e-04
5.129597708582878113e-02,5.141500011086463928e-02,1.190230250358581543e-04
-7.330200634896755219e-03,-7.439999841153621674e-03,1.097992062568664551e-04
-1.207805518060922623e-02,-1.177900005131959915e-02,2.990551292896270752e-04
2.749135717749595642e-02,2.758299931883811951e-02,9.164214134216308594e-05
-6.223016977310180664e-02,-6.253799796104431152e-02,3.078281879425048828e-04
-5.202492326498031616e-02,-5.203299969434738159e-02,8.076429367065429688e-06
-4.612568765878677368e-02,-4.615699872374534607e-02,3.131106495857238770e-05
7.670878618955612183e-02,7.672899961471557617e-02,2.021342515945434570e-05
-6.105960160493850708e-02,-6.099399924278259277e-02,6.560236215591430664e-05
3.745096549391746521e-02,3.780199959874153137e-02,3.510341048240661621e-04
-6.262623518705368042e-02,-6.222999840974807739e-02,3.962367773056030273e-04
-3.200355544686317444e-02,-3.222899883985519409e-02,2.254433929920196533e-04
8.565190248191356659e-03,8.679999969899654388e-03,1.148097217082977295e-04
2.413536049425601959e-02,2.479499951004981995e-02,6.596390157938003540e-04
-2.030432224273681641e-02,-2.014699950814247131e-02,1.573227345943450928e-04
1.604865863919258118e-02,1.611899957060813904e-02,7.034093141555786133e-05
-7.465909421443939209e-02,-7.487999647855758667e-02,2.209022641181945801e-04
-7.149077951908111572e-02,-7.148800045251846313e-02,2.779066562652587891e-06
-2.943115122616291046e-02,-2.944100089371204376e-02,9.849667549133300781e-06
4.579519852995872498e-02,4.553800076246261597e-02,2.571977674961090088e-04
2.127674594521522522e-02,2.138699963688850403e-02,1.102536916732788086e-04
6.018010899424552917e-02,6.006800010800361633e-02,1.121088862419128418e-04
-5.840862542390823364e-02,-5.852299928665161133e-02,1.143738627433776855e-04
7.389656454324722290e-02,7.395499944686889648e-02,5.843490362167358398e-05
7.026183605194091797e-02,7.056300342082977295e-02,3.011673688888549805e-04
-4.623141512274742126e-02,-4.615699872374534607e-02,7.441639900207519531e-05
7.554164528846740723e-02,7.518800348043441772e-02,3.536418080329895020e-04
-8.161662262864410877e-04,-9.299999801442027092e-04,1.138337538577616215e-04
-6.791467219591140747e-02,-6.809499859809875488e-02,1.803264021873474121e-04
3.820748627185821533e-02,3.811199963092803955e-02,9.548664093017578125e-05
-1.253904215991497040e-02,-1.270900014787912369e-02,1.699579879641532898e-04
-7.151332683861255646e-03,-7.129999808967113495e-03,2.133287489414215088e-05
4.756686836481094360e-02,4.770400002598762512e-02,1.371316611766815186e-04
-5.119147896766662598e-02,-5.110500007867813110e-02,8.647888898849487305e-05
-3.178378567099571228e-02,-3.346699848771095276e-02,1.683212816715240479e-03
4.088434576988220215e-02,4.058799892663955688e-02,2.963468432426452637e-04
-4.055191203951835632e-02,-4.058799892663955688e-02,3.608688712120056152e-05
9.408888290636241436e-04,9.299999801442027092e-04,1.088884891942143440e-05
-7.404044270515441895e-02,-7.487999647855758667e-02,8.395537734031677246e-04
8.558019995689392090e-03,8.679999969899654388e-03,1.219799742102622986e-04
-3.490775823593139648e-02,-3.470600023865699768e-02,2.017579972743988037e-04
-4.706011712551116943e-02,-4.708499833941459656e-02,2.488121390342712402e-05
-3.580328077077865601e-02,-3.594499826431274414e-02,1.417174935340881348e-04
-1.292577292770147324e-02,-1.239900011569261551e-02,5.267728120088577271e-04
-2.610729634761810303e-02,-2.603399939835071564e-02,7.329694926738739014e-05
-1.514785736799240112e-02,-1.518900040537118912e-02,4.114303737878799438e-05
1.517875492572784424e-02,1.518900040537118912e-02,1.024547964334487915e-05
4.758293181657791138e-02,4.770400002598762512e-02,1.210682094097137451e-04
4.698815196752548218e-02,4.708499833941459656e-02,9.684637188911437988e-05
4.583600163459777832e-02,4.584800079464912415e-02,1.199916005134582520e-05
-1.613622996956110001e-03,-1.550000044517219067e-03,6.362295243889093399e-05
7.579111307859420776e-02,7.580400258302688599e-02,1.288950443267822266e-05
-4.779645241796970367e-03,-4.960000049322843552e-03,1.803548075258731842e-04
-7.303915917873382568e-02,-7.272200286388397217e-02,3.171563148498535156e-04
-2.115250099450349808e-03,-2.169999992474913597e-03,5.474989302456378937e-05
5.387535691261291504e-02,5.388800054788589478e-02,1.264363527297973633e-05
3.559574484825134277e-02,3.563499823212623596e-02,3.925338387489318848e-05
-1.549401972442865372e-02,-1.549900043755769730e-02,4.980713129043579102e-06
-5.735657364130020142e-02,-5.697799846529960632e-02,3.785751760005950928e-04
3.015784732997417450e-02,3.006099909543991089e-02,9.684823453426361084e-05
7.377110887318849564e-03,7.439999841153621674e-03,6.288895383477210999e-05
-1.397112756967544556e-02,-1.394900027662515640e-02,2.212729305028915405e-05
3.798773139715194702e-02,3.811199963092803955e-02,1.242682337760925293e-04
-4.130668193101882935e-02,-4.120700061321258545e-02,9.968131780624389648e-05
5.766257643699645996e-02,5.759600177407264709e-02,6.657466292381286621e-05
-1.711911708116531372e-02,-1.704799942672252655e-02,7.111765444278717041e-05
-3.460084274411201477e-02,-3.470600023865699768e-02,1.051574945449829102e-04
4.464115574955940247e-02,4.492000117897987366e-02,2.788454294204711914e-04
5.739798024296760559e-02,5.697799846529960632e-02,4.199817776679992676e-04
-1.821592450141906738e-02,-1.828799955546855927e-02,7.207505404949188232e-05
1.689980039373040199e-03,6.200000061653554440e-04,1.069979975000023842e-03
-4.293934628367424011e-02,-4.275399819016456604e-02,1.853480935096740723e-04
5.069242790341377258e-02,5.048700049519538879e-02,2.054274082183837891e-04
6.688150763511657715e-02,6.685999780893325806e-02,2.150982618331909180e-05
-6.010783091187477112e-02,-6.037700176239013672e-02,2.691708505153656006e-04
-6.693655252456665039e-02,-6.685999780893325806e-02,7.655471563339233398e-05
3.118550591170787811e-02,3.068000078201293945e-02,5.055051296949386597e-04
2.909522503614425659e-02,2.882199920713901520e-02,2.732258290052413940e-04
-4.620738793164491653e-03,-4.960000049322843552e-03,3.392612561583518982e-04
3.961479291319847107e-02,3.934999927878379822e-02,2.647936344146728516e-04
-7.877397537231445312e-02,-7.888600230216979980e-02,1.120269298553466797e-04
-5.691754445433616638e-02,-5.697799846529960632e-02,6.045401096343994141e-05
-6.098102033138275146e-02,-6.099399924278259277e-02,1.297891139984130859e-05
2.480217628180980682e-02,2.479499951004981995e-02,7.176771759986877441e-06
1.958369836211204529e-02,1.983699947595596313e-02,2.533011138439178467e-04
2.641107887029647827e-02,2.665399946272373199e-02,2.429205924272537231e-04
-2.358264848589897156e-02,-2.355599962174892426e-02,2.664886415004730225e-05
-2.889952249825000763e-02,-2.882199920713901520e-02,7.752329111099243164e-05
