Wall time,Step,Value
1731246220.3390374,3,0.00225832243449986
1731246222.365388,4,0.0020875935442745686
1731246234.2963831,10,0.0008321131463162601
1731246241.5565186,14,0.0005991838406771421
1731246243.396913,15,0.0005968412151560187
1731246249.4559417,18,0.00042919107363559306
1731246251.2372522,19,0.0004032153228763491
1731246253.013911,20,0.0003800298145506531
1731246256.677784,22,0.00029086691210977733
1731246258.4576504,23,0.00022488435206469148
1731246264.014672,26,0.00014502432895824313
1731246266.0240774,27,0.00012887561751995236
1731246287.5800207,38,6.186030805110931e-05
1731246291.3745418,40,5.167022391106002e-05
1731246304.8713214,47,3.36380471708253e-05
1731246306.8188126,48,2.8227481379872188e-05
1731246308.66613,49,2.815742845996283e-05
1731246312.4608474,51,2.4950057195383124e-05
1731246318.12178,54,2.6067324142786674e-05
1731246324.0502675,57,1.8353235645918176e-05
1731246329.831256,60,1.0397341611678712e-05
1731246331.8017874,61,1.153416269517038e-05
1731246333.8114476,62,8.28279553388711e-06
1731246335.8192017,63,9.098672308027744e-06
1731246379.5955787,65,6.787007805542089e-06
1731246381.3160331,66,8.093789801932871e-06
1731246383.0350864,67,6.5837120928335935e-06
1731246384.7535577,68,7.339542207773775e-06
1731246388.2056117,70,7.1756858233129606e-06
1731246389.9243746,71,5.22781601830502e-06
1731246400.2521589,77,4.154031557845883e-06
1731246403.7128348,79,3.6736503261636244e-06
1731246409.3489196,82,3.8016933103790507e-06
1731246414.9406722,85,3.4734066503006034e-06
1731246422.74601,89,2.8673648557742126e-06
1731246440.6637092,99,2.321578904229682e-06
1731246447.8124406,103,2.1813286821270594e-06
1731246453.108635,106,2.2817598619440105e-06
1731246454.8419755,107,2.1143969206605107e-06
1731246458.6372879,109,2.1521391317946836e-06
1731246470.877796,116,1.8592372725834139e-06
1731246480.3305056,121,1.645599809307896e-06
1731246487.7276196,125,1.7807041103878873e-06
1731246489.6930099,126,1.5927685126371216e-06
1731246535.1631973,128,1.6136168596858624e-06
1731246538.6989732,130,1.482793663853954e-06
1731246549.2305825,136,1.4391960121429292e-06
1731246550.9709954,137,1.37598317451193e-06
1731246563.2144802,144,1.2097116268705577e-06
1731246566.897803,146,1.3022461189393653e-06
1731246568.8445327,147,1.3673545709025348e-06
1731246574.2579043,150,1.2150346719863592e-06
1731246586.5013366,157,1.1755694231396774e-06
1731246591.6816862,160,1.0674325494619552e-06
1731246595.1668818,162,1.1501062999741407e-06
1731246599.1000233,164,1.0909004686254775e-06
1731246610.09561,170,1.0299445420969278e-06
1731246611.8247445,171,1.049345428327797e-06
1731246613.5489132,172,1.1055118420699728e-06
1731246622.2252142,177,9.070225814866717e-07
1731246629.679338,181,8.611186785856262e-07
1731246634.9947207,184,8.8689580479695e-07
1731246636.7143695,185,8.19400156615302e-07
1731246638.435528,186,8.84853079696768e-07
1731246645.3938975,190,7.349128168243624e-07
1731246647.1184776,191,8.255197485596e-07
1731246687.810207,192,8.017173058760818e-07
1731246700.27849,199,8.904931974029751e-07
1731246705.4939156,202,7.546365168309421e-07
1731246707.216757,203,6.462500437010021e-07
1731246709.047458,204,7.729539674983243e-07
1731246710.8317425,205,7.378401960522751e-07
1731246714.4760404,207,7.108508839337446e-07
1731246721.5783637,211,7.167117814788071e-07
1731246725.2296295,213,6.762245448044268e-07
1731246728.7465851,215,6.66141545480059e-07
1731246736.4130096,219,6.623996569032897e-07
1731246738.3480635,220,6.702572932226758e-07
1731246740.069162,221,6.763663691344846e-07
1731246745.296358,224,6.742417326677241e-07
1731246754.157652,229,6.38417759546428e-07
1731246772.0256279,239,6.068789843993727e-07
1731246775.56297,241,6.553267439812771e-07
1731246781.4221458,244,6.984915899010957e-07
1731246783.3487318,245,6.014578275426175e-07
1731246785.095978,246,6.49715616418689e-07
1731246799.171971,254,6.098926519371162e-07
1731246845.3977568,258,5.651899073200184e-07
1731246847.1467464,259,5.562262685998576e-07
1731246848.9050133,260,5.665180538017012e-07
1731246868.6029892,271,5.585351345871459e-07
1731246873.874826,274,5.90076410844631e-07
1731246877.4578564,276,5.788763246528106e-07
1731246881.001664,278,6.205201543707517e-07
1731246884.4658651,280,5.739718744735001e-07
1731246887.9611268,282,5.936442448728485e-07
1731246889.7909355,283,5.732250656365068e-07
1731246893.2858727,285,5.822817001899239e-07
1731246898.5709767,288,5.238368885329692e-07
1731246902.0650835,290,5.788560883956961e-07
1731246910.6957707,295,6.151562956802081e-07
1731246912.4577267,296,5.33638115030044e-07
1731246914.2633815,297,5.065744517196435e-07
1731246916.144137,298,5.499176722878474e-07
1731246930.0606496,306,5.648968226523721e-07
1731246933.5231853,308,5.865491630174802e-07
1731246940.4600425,312,5.857534688402666e-07
1731246947.3526208,316,5.740052984037902e-07
1731246950.8876088,318,5.699369580725033e-07
1731246952.841975,319,5.419461786004831e-07
1731246998.3435128,322,7.564821089545148e-07
1731247024.8959649,337,5.497313395608217e-07
1731247026.6257496,338,5.361230250855442e-07
1731247035.7040474,343,6.695678393953131e-07
1731247039.1522973,345,5.327638064045459e-07
1731247041.0463774,346,5.755794063588837e-07
1731247051.8102355,352,4.992876938558766e-07
1731247055.2611082,354,6.019281499902718e-07
1731247062.159932,358,4.849592869504704e-07
1731247069.1323764,362,5.116360739521042e-07
1731247070.968411,363,4.365469408185163e-07
1731247072.7031577,364,4.533533797257405e-07
1731247074.4220223,365,4.531605100055458e-07
1731247076.1594799,366,4.355219402896182e-07
1731247077.8773913,367,5.473166311276145e-07
1731247096.9543095,378,5.788922408100916e-07
1731247151.897071,386,4.3071068489553e-07
