Output,Target,Error
-3.469458222389221191e-02,-3.439600020647048950e-02,2.985820174217224121e-04
2.454985864460468292e-02,2.448499947786331177e-02,6.485916674137115479e-05
-6.539432704448699951e-02,-6.531699746847152710e-02,7.732957601547241211e-05
-1.233074441552162170e-02,-1.239900011569261551e-02,6.825570017099380493e-05
-1.870162039995193481e-02,-1.859799958765506744e-02,1.036208122968673706e-04
-3.685656562447547913e-02,-3.687300160527229309e-02,1.643598079681396484e-05
-6.715446710586547852e-02,-6.716900318861007690e-02,1.453608274459838867e-05
7.828876376152038574e-03,8.059999905526638031e-03,2.311235293745994568e-04
-4.719825834035873413e-02,-4.708499833941459656e-02,1.132600009441375732e-04
-2.589159645140171051e-02,-2.572399936616420746e-02,1.675970852375030518e-04
3.299572691321372986e-02,3.284800052642822266e-02,1.477263867855072021e-04
5.671348422765731812e-02,5.666900053620338440e-02,4.448369145393371582e-05
-9.687195532023906708e-03,-9.610000066459178925e-03,7.719546556472778320e-05
6.566094700247049332e-03,6.510000210255384445e-03,5.609448999166488647e-05
-6.559596396982669830e-03,-6.510000210255384445e-03,4.959618672728538513e-05
-2.967269718647003174e-02,-2.975100092589855194e-02,7.830373942852020264e-05
-7.648075371980667114e-02,-7.642100006341934204e-02,5.975365638732910156e-05
-7.160020619630813599e-02,-7.148800045251846313e-02,1.122057437896728516e-04
-4.412481561303138733e-02,-4.399200156331062317e-02,1.328140497207641602e-04
-5.734082311391830444e-02,-5.728700011968612671e-02,5.382299423217773438e-05
4.485129565000534058e-02,4.492000117897987366e-02,6.870552897453308105e-05
-5.797775834798812866e-02,-5.790499970316886902e-02,7.275864481925964355e-05
6.874639540910720825e-02,6.902000308036804199e-02,2.736076712608337402e-04
-5.163538455963134766e-02,-5.172400176525115967e-02,8.861720561981201172e-05
-6.465313583612442017e-02,-6.469999998807907104e-02,4.686415195465087891e-05
6.614045053720474243e-02,6.624300032854080200e-02,1.025497913360595703e-04
6.095723435282707214e-02,6.099399924278259277e-02,3.676488995552062988e-05
-7.331947237253189087e-02,-7.333800196647644043e-02,1.852959394454956055e-05
-4.055912792682647705e-02,-4.058799892663955688e-02,2.887099981307983398e-05
-2.563762851059436798e-02,-2.572399936616420746e-02,8.637085556983947754e-05
-4.283599555492401123e-02,-4.275399819016456604e-02,8.199736475944519043e-05
7.584853470325469971e-02,7.580400258302688599e-02,4.453212022781372070e-05
2.569253370165824890e-02,2.572399936616420746e-02,3.146566450595855713e-05
3.128095716238021851e-02,3.130000084638595581e-02,1.904368400573730469e-05
1.358484756201505661e-02,1.363900024443864822e-02,5.415268242359161377e-05
-7.612165063619613647e-02,-7.611300051212310791e-02,8.650124073028564453e-06
-4.030626639723777771e-02,-4.027799889445304871e-02,2.826750278472900391e-05
-1.984681235626339912e-03,-1.859999960288405418e-03,1.246812753379344940e-04
-1.933608576655387878e-02,-1.921799965202808380e-02,1.180861145257949829e-04
1.609933935105800629e-02,1.611899957060813904e-02,1.966021955013275146e-05
9.565274231135845184e-03,9.610000066459178925e-03,4.472583532333374023e-05
-4.898077249526977539e-02,-4.894100129604339600e-02,3.977119922637939453e-05
-4.309991374611854553e-02,-4.306299984455108643e-02,3.691390156745910645e-05
1.828634878620505333e-03,1.859999960288405418e-03,3.136508166790008545e-05
-5.334936827421188354e-02,-5.327000096440315247e-02,7.936730980873107910e-05
-1.465949788689613342e-02,-1.456900034099817276e-02,9.049754589796066284e-05
-4.328226670622825623e-02,-4.337299987673759460e-02,9.073317050933837891e-05
-1.123318355530500412e-02,-1.116000022739171982e-02,7.318332791328430176e-05
6.837499141693115234e-02,6.840299814939498901e-02,2.800673246383666992e-05
6.687285751104354858e-02,6.685999780893325806e-02,1.285970211029052734e-05
-5.465427041053771973e-02,-5.450600013136863708e-02,1.482702791690826416e-04
-1.817559450864791870e-02,-1.828799955546855927e-02,1.124050468206405640e-04
3.593549132347106934e-02,3.594499826431274414e-02,9.506940841674804688e-06
5.974876508116722107e-02,5.975899845361709595e-02,1.023337244987487793e-05
-4.875899851322174072e-02,-4.894100129604339600e-02,1.820027828216552734e-04
-4.199394583702087402e-02,-4.213500022888183594e-02,1.410543918609619141e-04
3.828392550349235535e-02,3.811199963092803955e-02,1.719258725643157959e-04
-2.782124839723110199e-02,-2.789299935102462769e-02,7.175095379352569580e-05
4.884900152683258057e-02,4.863199964165687561e-02,2.170018851757049561e-04
-9.067560546100139618e-03,-8.990000002086162567e-03,7.756054401397705078e-05
