Output,Target,Error
-1.293839234858751297e-02,-1.301900018006563187e-02,8.060783147811889648e-05
1.241545286029577255e-02,1.239900011569261551e-02,1.645274460315704346e-05
-3.040273487567901611e-02,-3.037099912762641907e-02,3.173574805259704590e-05
-4.255921766161918640e-02,-4.244399815797805786e-02,1.152195036411285400e-04
8.084299974143505096e-03,8.059999905526638031e-03,2.430006861686706543e-05
-4.345334321260452271e-02,-4.337299987673759460e-02,8.034333586692810059e-05
4.246415942907333374e-02,4.244399815797805786e-02,2.016127109527587891e-05
-1.125296019017696381e-02,-1.116000022739171982e-02,9.295996278524398804e-05
5.988304689526557922e-02,5.975899845361709595e-02,1.240484416484832764e-04
7.059915363788604736e-02,7.056300342082977295e-02,3.615021705627441406e-05
3.995463997125625610e-02,3.996900096535682678e-02,1.436099410057067871e-05
5.309843644499778748e-02,5.296000093221664429e-02,1.384355127811431885e-04
-4.962195828557014465e-02,-4.955900087952613831e-02,6.295740604400634766e-05
-2.776103094220161438e-02,-2.758299931883811951e-02,1.780316233634948730e-04
2.553510107100009918e-02,2.572399936616420746e-02,1.888982951641082764e-04
-4.707348346710205078e-02,-4.708499833941459656e-02,1.151487231254577637e-05
-5.872351676225662231e-02,-5.883200094103813171e-02,1.084841787815093994e-04
-6.321409344673156738e-02,-6.315600126981735229e-02,5.809217691421508789e-05
2.243395894765853882e-03,2.169999992474913597e-03,7.339590229094028473e-05
-2.017888240516185760e-02,-2.014699950814247131e-02,3.188289701938629150e-05
-6.605322659015655518e-02,-6.593400239944458008e-02,1.192241907119750977e-04
2.438171766698360443e-02,2.448499947786331177e-02,1.032818108797073364e-04
3.958429396152496338e-02,3.965900093317031860e-02,7.470697164535522461e-05
7.522209733724594116e-02,7.518800348043441772e-02,3.409385681152343750e-05
-2.748009376227855682e-02,-2.758299931883811951e-02,1.029055565595626831e-04
5.695029348134994507e-02,5.697799846529960632e-02,2.770498394966125488e-05
-7.540376484394073486e-02,-7.549600303173065186e-02,9.223818778991699219e-05
2.552746981382369995e-02,2.572399936616420746e-02,1.965295523405075073e-04
-2.836202457547187805e-02,-2.851199917495250702e-02,1.499745994806289673e-04
7.380342483520507812e-02,7.395499944686889648e-02,1.515746116638183594e-04
2.896720543503761292e-02,2.882199920713901520e-02,1.452062278985977173e-04
-5.128373205661773682e-02,-5.110500007867813110e-02,1.787319779396057129e-04
-3.159642918035387993e-03,-3.100000089034438133e-03,5.964282900094985962e-05
-4.982289299368858337e-02,-4.986900091171264648e-02,4.610791802406311035e-05
7.256533950567245483e-02,7.272200286388397217e-02,1.566633582115173340e-04
7.054275367408990860e-03,6.819999776780605316e-03,2.342755906283855438e-04
-7.234364002943038940e-02,-7.241299748420715332e-02,6.935745477676391602e-05
-4.496873542666435242e-02,-4.461000114679336548e-02,3.587342798709869385e-04
-6.594368070363998413e-02,-6.593400239944458008e-02,9.678304195404052734e-06
-4.104009643197059631e-02,-4.089700058102607727e-02,1.430958509445190430e-04
-6.356891989707946777e-02,-6.346499919891357422e-02,1.039206981658935547e-04
6.773113459348678589e-02,6.778600066900253296e-02,5.486607551574707031e-05
-3.653546795248985291e-02,-3.656399995088577271e-02,2.853199839591979980e-05
-4.266849905252456665e-02,-4.275399819016456604e-02,8.549913763999938965e-05
-6.045980751514434814e-02,-6.037700176239013672e-02,8.280575275421142578e-05
1.137830782681703568e-02,1.116000022739171982e-02,2.183075994253158569e-04
9.228735230863094330e-03,9.300000034272670746e-03,7.126480340957641602e-05
7.144872844219207764e-02,7.148800045251846313e-02,3.927201032638549805e-05
4.252050444483757019e-02,4.244399815797805786e-02,7.650628685951232910e-05
2.265408821403980255e-02,2.262599952518939972e-02,2.808868885040283203e-05
1.843156106770038605e-02,1.828799955546855927e-02,1.435615122318267822e-04
5.099718645215034485e-02,5.110500007867813110e-02,1.078136265277862549e-04
-4.554992541670799255e-02,-4.553800076246261597e-02,1.192465424537658691e-05
-1.627432741224765778e-02,-1.642899960279464722e-02,1.546721905469894409e-04
-7.827673107385635376e-02,-7.827000319957733154e-02,6.727874279022216797e-06
1.072531007230281830e-02,1.085000019520521164e-02,1.246901229023933411e-04
3.700063750147819519e-02,3.687300160527229309e-02,1.276358962059020996e-04
-1.685468293726444244e-02,-1.673799939453601837e-02,1.166835427284240723e-04
6.600651144981384277e-02,6.593400239944458008e-02,7.250905036926269531e-05
-1.908840052783489227e-02,-1.890799961984157562e-02,1.804009079933166504e-04
-2.733835764229297638e-02,-2.727299928665161133e-02,6.535835564136505127e-05
-1.074914541095495224e-02,-1.054000016301870346e-02,2.091452479362487793e-04
-4.193251207470893860e-02,-4.182599857449531555e-02,1.065135002136230469e-04
-1.570949913002550602e-03,-1.550000044517219067e-03,2.094986848533153534e-05
-6.286215782165527344e-02,-6.284700334072113037e-02,1.515448093414306641e-05
3.207059949636459351e-02,3.222899883985519409e-02,1.583993434906005859e-04
1.136736385524272919e-02,1.116000022739171982e-02,2.073636278510093689e-04
-4.358706250786781311e-02,-4.337299987673759460e-02,2.140626311302185059e-04
7.729157805442810059e-02,7.703699916601181030e-02,2.545788884162902832e-04
-5.259651690721511841e-02,-5.265099927783012390e-02,5.448237061500549316e-05
7.303893566131591797e-02,7.333800196647644043e-02,2.990663051605224609e-04
4.693864658474922180e-02,4.677600041031837463e-02,1.626461744308471680e-04
5.269435420632362366e-02,5.265099927783012390e-02,4.335492849349975586e-05
2.818543650209903717e-02,2.820299938321113586e-02,1.756288111209869385e-05
-7.371680438518524170e-02,-7.364699989557266235e-02,6.980448961257934570e-05
3.654998168349266052e-02,3.656399995088577271e-02,1.401826739311218262e-05
3.957082331180572510e-02,3.934999927878379822e-02,2.208240330219268799e-04
7.215352356433868408e-02,7.210499793291091919e-02,4.852563142776489258e-05
-4.273064434528350830e-03,-4.339999984949827194e-03,6.693555042147636414e-05
-1.942373253405094147e-02,-1.952799968421459198e-02,1.042671501636505127e-04
3.321349620819091797e-02,3.315800055861473083e-02,5.549564957618713379e-05
5.808975547552108765e-02,5.821400135755538940e-02,1.242458820343017578e-04
-7.707650214433670044e-02,-7.703699916601181030e-02,3.950297832489013672e-05
6.139247119426727295e-02,6.130300089716911316e-02,8.947029709815979004e-05
2.425404638051986694e-02,2.417499944567680359e-02,7.904693484306335449e-05
-6.505127996206283569e-02,-6.500799953937530518e-02,4.328042268753051758e-05
5.013611912727355957e-02,5.017799884080886841e-02,4.187971353530883789e-05
3.917580097913742065e-02,3.903999924659729004e-02,1.358017325401306152e-04
-3.531584888696670532e-02,-3.532499819993972778e-02,9.149312973022460938e-06
-6.498069316148757935e-02,-6.500799953937530518e-02,2.730637788772583008e-05
6.281277537345886230e-02,6.284700334072113037e-02,3.422796726226806641e-05
3.481734544038772583e-02,3.501600027084350586e-02,1.986548304557800293e-04
-1.426410023123025894e-02,-1.425900030881166458e-02,5.099922418594360352e-06
-3.475777059793472290e-02,-3.470600023865699768e-02,5.177035927772521973e-05
5.110945552587509155e-02,5.110500007867813110e-02,4.455447196960449219e-06
-6.238986738026142120e-03,-6.200000178068876266e-03,3.898655995726585388e-05
-4.171859100461006165e-02,-4.182599857449531555e-02,1.074075698852539062e-04
1.782660186290740967e-02,1.766799949109554291e-02,1.586023718118667603e-04
-2.427450381219387054e-03,-2.480000024661421776e-03,5.254964344203472137e-05
5.823801830410957336e-02,5.821400135755538940e-02,2.401694655418395996e-05
7.531354576349258423e-02,7.549600303173065186e-02,1.824572682380676270e-04
-3.845130279660224915e-02,-3.842100128531455994e-02,3.030151128768920898e-05
-7.208877056837081909e-02,-7.210499793291091919e-02,1.622736454010009766e-05
4.628800600767135620e-02,4.615699872374534607e-02,1.310072839260101318e-04
2.325860783457756042e-02,2.324599958956241608e-02,1.260824501514434814e-05
7.189228385686874390e-02,7.179600000381469727e-02,9.628385305404663086e-05
5.870834738016128540e-02,5.883200094103813171e-02,1.236535608768463135e-04
6.929703801870346069e-02,6.932900100946426392e-02,3.196299076080322266e-05
-5.669500306248664856e-02,-5.666900053620338440e-02,2.600252628326416016e-05
6.236021593213081360e-02,6.253799796104431152e-02,1.777820289134979248e-04
7.532232999801635742e-02,7.549600303173065186e-02,1.736730337142944336e-04
5.549748241901397705e-02,5.543300136923789978e-02,6.448104977607727051e-05
4.739609360694885254e-02,4.739399999380111694e-02,2.093613147735595703e-06
4.193370044231414795e-02,4.182599857449531555e-02,1.077018678188323975e-04
-6.118514761328697205e-02,-6.130300089716911316e-02,1.178532838821411133e-04
-3.959925845265388489e-03,-4.029999952763319016e-03,7.007410749793052673e-05
-7.525627315044403076e-02,-7.518800348043441772e-02,6.826967000961303711e-05
-2.392643317580223083e-02,-2.386499941349029541e-02,6.143376231193542480e-05
1.554454397410154343e-02,1.549900043755769730e-02,4.554353654384613037e-05
-7.257948815822601318e-02,-7.241299748420715332e-02,1.664906740188598633e-04
5.774604901671409607e-02,5.790499970316886902e-02,1.589506864547729492e-04
-6.471363455057144165e-02,-6.469999998807907104e-02,1.363456249237060547e-05
7.027384638786315918e-02,7.025399804115295410e-02,1.984834671020507812e-05
3.982897847890853882e-02,3.965900093317031860e-02,1.699775457382202148e-04
3.579638898372650146e-02,3.594499826431274414e-02,1.486092805862426758e-04
6.460152566432952881e-02,6.469999998807907104e-02,9.847432374954223633e-05
-5.139664560556411743e-02,-5.141500011086463928e-02,1.835450530052185059e-05
1.770498789846897125e-02,1.766799949109554291e-02,3.698840737342834473e-05
7.123204413801431656e-03,7.129999808967113495e-03,6.795395165681838989e-06
-7.864926010370254517e-02,-7.857800275087356567e-02,7.125735282897949219e-05
6.796809285879135132e-02,6.809499859809875488e-02,1.269057393074035645e-04
-2.418044395744800568e-02,-2.417499944567680359e-02,5.444511771202087402e-06
-4.252069443464279175e-02,-4.244399815797805786e-02,7.669627666473388672e-05
5.161391198635101318e-02,5.172400176525115967e-02,1.100897789001464844e-04
2.127726748585700989e-02,2.138699963688850403e-02,1.097321510314941406e-04
-6.553025543689727783e-02,-6.562600284814834595e-02,9.574741125106811523e-05
-4.330242425203323364e-02,-4.337299987673759460e-02,7.057562470436096191e-05
-4.727363586425781250e-02,-4.739399999380111694e-02,1.203641295433044434e-04
6.527680158615112305e-02,6.531699746847152710e-02,4.019588232040405273e-05
-4.727469757199287415e-03,-4.650000017136335373e-03,7.746974006295204163e-05
-7.458093017339706421e-02,-7.457099854946136475e-02,9.931623935699462891e-06
3.451025113463401794e-02,3.439600020647048950e-02,1.142509281635284424e-04
-1.020079851150512695e-02,-1.023000013083219528e-02,2.920161932706832886e-05
4.088560119271278381e-02,4.089700058102607727e-02,1.139938831329345703e-05
-7.155901938676834106e-02,-7.148800045251846313e-02,7.101893424987792969e-05
-4.059008508920669556e-02,-4.058799892663955688e-02,2.086162567138671875e-06
-6.371738016605377197e-02,-6.377299875020980835e-02,5.561858415603637695e-05
-7.451482117176055908e-02,-7.426299899816513062e-02,2.518221735954284668e-04
-1.485428656451404095e-03,-1.550000044517219067e-03,6.457138806581497192e-05
-3.571357578039169312e-02,-3.594499826431274414e-02,2.314224839210510254e-04
-2.343242801725864410e-02,-2.355599962174892426e-02,1.235716044902801514e-04
-1.264411956071853638e-02,-1.270900014787912369e-02,6.488058716058731079e-05
3.942309319972991943e-02,3.934999927878379822e-02,7.309392094612121582e-05
-1.915576122701168060e-02,-1.921799965202808380e-02,6.223842501640319824e-05
-3.599534975364804268e-03,-4.029999952763319016e-03,4.304649773985147476e-04
-6.569981575012207031e-02,-6.562600284814834595e-02,7.381290197372436523e-05
-1.305959420278668404e-03,-1.240000012330710888e-03,6.595940794795751572e-05
6.190999597311019897e-02,6.192100048065185547e-02,1.100450754165649414e-05
-4.116739332675933838e-02,-4.120700061321258545e-02,3.960728645324707031e-05
-7.503994740545749664e-03,-7.439999841153621674e-03,6.399489939212799072e-05
5.402522161602973938e-02,5.419699847698211670e-02,1.717768609523773193e-04
4.115541651844978333e-02,4.120700061321258545e-02,5.158409476280212402e-05
-3.867813572287559509e-02,-3.842100128531455994e-02,2.571344375610351562e-04
7.529007643461227417e-02,7.549600303173065186e-02,2.059265971183776855e-04
-5.419483408331871033e-02,-5.419699847698211670e-02,2.164393663406372070e-06
1.940746977925300598e-02,1.952799968421459198e-02,1.205299049615859985e-04
2.876424230635166168e-02,2.882199920713901520e-02,5.775690078735351562e-05
7.048945128917694092e-02,7.056300342082977295e-02,7.355213165283203125e-05
4.833895713090896606e-02,4.832199960947036743e-02,1.695752143859863281e-05
-7.684811204671859741e-02,-7.642100006341934204e-02,4.271119832992553711e-04
3.027502633631229401e-02,3.037099912762641907e-02,9.597279131412506104e-05
-7.450695335865020752e-02,-7.457099854946136475e-02,6.404519081115722656e-05
-5.595274269580841064e-02,-5.605100095272064209e-02,9.825825691223144531e-05
-4.044164437800645828e-03,-4.029999952763319016e-03,1.416448503732681274e-05
2.269428595900535583e-02,2.262599952518939972e-02,6.828643381595611572e-05
2.633220143616199493e-02,2.634399943053722382e-02,1.179799437522888184e-05
-4.403900727629661560e-02,-4.399200156331062317e-02,4.700571298599243164e-05
7.738495618104934692e-02,7.703699916601181030e-02,3.479570150375366211e-04
-1.116714812815189362e-02,-1.116000022739171982e-02,7.147900760173797607e-06
-6.904885917901992798e-02,-6.902000308036804199e-02,2.885609865188598633e-05
3.942110389471054077e-02,3.934999927878379822e-02,7.110461592674255371e-05
-3.890501707792282104e-02,-3.903999924659729004e-02,1.349821686744689941e-04
-5.576067417860031128e-02,-5.574199929833412170e-02,1.867488026618957520e-05
7.253040373325347900e-02,7.241299748420715332e-02,1.174062490463256836e-04
-4.792923107743263245e-02,-4.770400002598762512e-02,2.252310514450073242e-04
-4.873090237379074097e-02,-4.863199964165687561e-02,9.890273213386535645e-05
4.551981762051582336e-02,4.522899910807609558e-02,2.908185124397277832e-04
4.946872964501380920e-02,4.955900087952613831e-02,9.027123451232910156e-05
-7.120405882596969604e-02,-7.118000090122222900e-02,2.405792474746704102e-05
-2.739443816244602203e-02,-2.727299928665161133e-02,1.214388757944107056e-04
3.360356763005256653e-02,3.346699848771095276e-02,1.365691423416137695e-04
3.575812652707099915e-02,3.563499823212623596e-02,1.231282949447631836e-04
